seed,global_forecast_error,adaptive_forecast_error,independent_forecast_error,global_loading_correlation,adaptive_loading_correlation,global_accuracy,adaptive_accuracy,independent_accuracy,adaptive_effective_shrinkage
9901,0.599473357547913,0.8936948736953744,1.0355928561916925,0.9993676956628975,0.999964005203559,0.6333333333333333,0.6333333333333333,0.6333333333333333,9.827280330234721
9902,0.4329089876949725,0.6196775980366042,0.6927722085994125,0.992690553416053,0.9980774010860716,0.6666666666666666,0.6666666666666666,0.6666666666666666,9.661004379771294
9903,0.6372577931981467,0.8403602167584641,1.2029573471224158,0.9999108253511991,0.9996203601040119,0.7166666666666667,0.7166666666666667,0.7166666666666667,9.716600896592304
9904,0.7251603820379106,0.8474937863616159,1.1499201055506585,0.9831068725023427,0.9960491580860885,0.7,0.7,0.7,9.653141426778783
9905,0.6008624876091827,0.8374889478096557,0.839242083510607,0.9960778532678995,0.9888264339365659,0.5833333333333334,0.5833333333333334,0.5833333333333334,9.704852443964151
9906,1.2016569623552738,1.0841293976362973,1.0400462623681825,0.9993357868547508,0.9994393911053332,0.7166666666666667,0.7166666666666667,0.7166666666666667,9.734006049022828
9907,0.7826507449558743,0.9826628217511091,0.9854551604422603,0.9968014073559436,0.9896124103765449,0.75,0.75,0.75,9.725570916204465
9908,0.42091383909673497,0.6001085873141518,0.7607966958399278,0.9882181853900882,0.9919528735687927,0.6833333333333333,0.6833333333333333,0.6833333333333333,9.82223747773499
9909,0.400683428161822,0.6191075180837781,0.7025716883403454,0.9888178154177062,0.9879636543036459,0.7166666666666667,0.7166666666666667,0.7166666666666667,9.801551160760967
9910,0.5359740436612797,0.8523801117324128,1.0564147905280161,0.9999498629267243,0.9999532457657876,0.7333333333333333,0.7333333333333333,0.7333333333333333,9.82567572247614
9911,0.8476704569829556,0.9064084277642567,1.0854332131250113,0.9880096925720633,0.9997342307308195,0.6666666666666666,0.6666666666666666,0.6666666666666666,9.640049301232867
9912,1.154828766305034,1.1093850798842013,1.087155904577806,0.9929462953581767,0.9924639776876518,0.7333333333333333,0.7333333333333333,0.7333333333333333,9.650193204701527
9913,0.3444082865907718,0.5535383428785902,0.7604780028217806,0.999088564201309,0.9992584320562118,0.7833333333333333,0.7833333333333333,0.7833333333333333,9.722767906927727
9914,0.5212721682131991,0.7697715810819703,0.9394285919121051,0.9925736779325615,0.9912070055605656,0.6333333333333333,0.6333333333333333,0.6333333333333333,9.762492488441989
9915,0.4607544737567949,0.7598267251634393,1.0620104045355563,0.9884503560520187,0.9886879427694028,0.7166666666666667,0.7166666666666667,0.7166666666666667,9.76320261833334
9916,0.7772809050238034,0.8356474072326063,0.904368231125198,0.9690131843208386,0.9956891786616496,0.6833333333333333,0.6833333333333333,0.6833333333333333,9.468713287794404
9917,0.5851364490167718,0.7559429348142653,0.7625542610249695,0.9840127232617638,0.9873812007893723,0.6333333333333333,0.6333333333333333,0.6333333333333333,9.763171604566427
9918,1.478971627166443,1.347076105565666,1.4584659671912834,0.8835558636038533,0.9321093660253472,0.7166666666666667,0.7166666666666667,0.7166666666666667,9.712944148229038
9919,0.43140669868883397,0.6713005638687318,0.9902261432222131,0.9998449632350566,0.9992930500479725,0.6666666666666666,0.6666666666666666,0.6666666666666666,9.731323691711735
9920,0.5281318630301808,0.8169879495451767,1.026427278589898,0.9917917796034724,0.9934563467912874,0.5833333333333334,0.5833333333333334,0.5833333333333334,9.65712766392543
