seed,generating_family,recovered_family,diagonal,context_split_selected,heldout_margin,complexity_audit
705032,context_split,context_split,true,true,1.6635850588540746,true
705032,continuous_drift,continuous_drift,true,false,2.2799720138420176,true
705032,change_point,change_point,true,false,1.7114763831931121,true
705033,global_downweight,global_downweight,true,false,9.730715043260174e-6,true
705033,cue_local,cue_local,true,false,0.5943431184225014,true
705033,context_split,context_split,true,true,1.1350161649880062,true
705033,continuous_drift,continuous_drift,true,false,2.419523293505507,true
705033,change_point,change_point,true,false,1.9534499692315748,true
705034,global_downweight,global_downweight,true,false,0.0056925840432949515,true
705034,cue_local,cue_local,true,false,0.5748209183352735,true
705034,context_split,context_split,true,true,1.988345398891249,true
705034,continuous_drift,continuous_drift,true,false,2.409230061755662,true
705034,change_point,change_point,true,false,1.6077698809883474,true
705035,global_downweight,global_downweight,true,false,0.0018596365237118495,true
705035,cue_local,cue_local,true,false,0.5933968857625551,true
705035,context_split,context_split,true,true,1.8957630185624377,true
705035,continuous_drift,change_point,false,false,2.2373110344699554,true
705035,change_point,change_point,true,false,1.7111480721082748,true
705036,global_downweight,global_downweight,true,false,0.0002445995068245943,true
705036,cue_local,cue_local,true,false,0.4986630210421321,true
705036,context_split,context_split,true,true,1.2146887837909675,true
705036,continuous_drift,continuous_drift,true,false,2.3620242523756043,true
705036,change_point,change_point,true,false,2.3454102803823225,true
705037,global_downweight,global_downweight,true,false,0.0001865363996206154,true
705037,cue_local,cue_local,true,false,0.5661079043312016,true
705037,context_split,context_split,true,true,2.1764990817378203,true
705037,continuous_drift,continuous_drift,true,false,2.23036397351439,true
705037,change_point,change_point,true,false,1.306711618786049,true
705038,global_downweight,global_downweight,true,false,0.003173033894140087,true
705038,cue_local,cue_local,true,false,0.5474011575892401,true
705038,context_split,context_split,true,true,2.1942804155483273,true
705038,continuous_drift,continuous_drift,true,false,2.268348637795987,true
705038,change_point,change_point,true,false,2.328512618509931,true
705039,global_downweight,global_downweight,true,false,0.0036799528004263365,true
705039,cue_local,cue_local,true,false,0.6920045479340864,true
705039,context_split,context_split,true,true,1.8138896757473828,true
705039,continuous_drift,continuous_drift,true,false,2.0601524870940913,true
705039,change_point,change_point,true,false,2.114027090788322,true
705040,global_downweight,global_downweight,true,false,0.00024756870303858924,true
705040,cue_local,cue_local,true,false,0.6068811593593866,true
705040,context_split,context_split,true,true,2.235157310924193,true
705040,continuous_drift,continuous_drift,true,false,1.828817427964228,true
705040,change_point,change_point,true,false,1.8631108412432853,true
705041,global_downweight,global_downweight,true,false,0.0023749660006681522,true
705041,cue_local,cue_local,true,false,0.41996188671727275,true
705041,context_split,context_split,true,true,1.4685551339022467,true
705041,continuous_drift,continuous_drift,true,false,2.3459783181634273,true
705041,change_point,change_point,true,false,1.0369318918944996,true
705042,global_downweight,global_downweight,true,false,0.0011105460234281592,true
705042,cue_local,cue_local,true,false,0.5928969262729309,true
705042,context_split,context_split,true,true,0.8701279449683448,true
705042,continuous_drift,continuous_drift,true,false,2.308564049315721,true
705042,change_point,change_point,true,false,1.9247731416552587,true
705043,global_downweight,global_downweight,true,false,0.00014882826533344634,true
705043,cue_local,cue_local,true,false,0.5239089759799569,true
705043,context_split,context_split,true,true,1.9660667190940866,true
705043,continuous_drift,continuous_drift,true,false,2.2763559905377724,true
705043,change_point,change_point,true,false,1.3279535421764377,true
705044,global_downweight,global_downweight,true,false,0.0027289910512077187,true
705044,cue_local,cue_local,true,false,0.8161838215748469,true
705044,context_split,context_split,true,true,2.063169383088578,true
705044,continuous_drift,continuous_drift,true,false,2.4097002383536705,true
705044,change_point,change_point,true,false,1.1746939662450346,true
705045,global_downweight,global_downweight,true,false,8.979930077718246e-5,true
