seed,full_accuracy,independent_accuracy,full_violation_accuracy,independent_violation_accuracy,full_coherent_accuracy,independent_coherent_accuracy,full_forecast_error,independent_forecast_error,joint_descent_rate
8801,0.7333333333333333,0.49166666666666664,0.3333333333333333,0.6666666666666666,0.7543859649122807,0.4824561403508772,0.4163459546542955,0.41634595465429597,1.0
8802,0.7833333333333333,0.4666666666666667,1.0,0.0,0.7815126050420168,0.47058823529411764,0.46258135210904183,0.4625813521090409,1.0
8803,0.7166666666666667,0.575,0.2,0.4,0.7391304347826086,0.5826086956521739,0.542843492488166,0.5428434924881655,1.0
8804,0.7083333333333334,0.5083333333333333,0.0,0.3333333333333333,0.7456140350877193,0.5175438596491229,0.43441510612947626,0.4344151061294763,1.0
8805,0.7333333333333333,0.5083333333333333,0.0,0.5,0.7719298245614035,0.5087719298245614,0.35441722558098787,0.3544172255809876,1.0
8806,0.6333333333333333,0.5166666666666667,0.16666666666666666,0.5,0.6578947368421053,0.5175438596491229,0.3187687752490262,0.318768775249026,1.0
8807,0.7333333333333333,0.5083333333333333,0.25,0.5,0.75,0.5086206896551724,0.6066945696550775,0.6066945696550772,1.0
8808,0.725,0.5166666666666667,0.0,0.3333333333333333,0.7435897435897436,0.5213675213675214,0.5441655139410119,0.5441655139410116,1.0
8809,0.725,0.5666666666666667,0.0,0.6,0.7565217391304347,0.5652173913043478,0.8394165281373338,0.8394165281373339,1.0
8810,0.7583333333333333,0.475,0.25,0.375,0.7946428571428571,0.48214285714285715,0.5481194332915066,0.5481194332915051,1.0
8811,0.6416666666666667,0.525,0.25,0.75,0.6696428571428571,0.5089285714285714,0.5047410609256232,0.5047410609256227,1.0
8812,0.7583333333333333,0.55,0.4,0.4,0.7739130434782608,0.5565217391304348,0.4515898850167352,0.4515898850167347,1.0
8813,0.7583333333333333,0.38333333333333336,0.2222222222222222,0.3333333333333333,0.8018018018018018,0.38738738738738737,0.3863844106109851,0.3863844106109837,1.0
8814,0.6833333333333333,0.5416666666666666,0.2,1.0,0.7043478260869566,0.5217391304347826,0.5417058022612824,0.5417058022612823,1.0
8815,0.7166666666666667,0.5333333333333333,0.4444444444444444,0.6666666666666666,0.7387387387387387,0.5225225225225225,0.6956522427463362,0.6956522427463366,1.0
8816,0.7666666666666667,0.5333333333333333,0.3333333333333333,0.6666666666666666,0.7894736842105263,0.5263157894736842,0.6045543102480645,0.6045543102480637,1.0
8817,0.625,0.45,0.25,0.25,0.6379310344827587,0.45689655172413796,0.5953038309407769,0.595303830940777,1.0
8818,0.7166666666666667,0.5,0.5,0.5,0.7280701754385965,0.5,0.44345393938073163,0.4434539393807317,1.0
8819,0.7333333333333333,0.5,0.16666666666666666,0.5833333333333334,0.7962962962962963,0.49074074074074076,0.4472910785129246,0.4472910785129253,1.0
8820,0.7916666666666666,0.49166666666666664,0.0,0.5,0.8050847457627118,0.4915254237288136,0.6853664532442337,0.6853664532442336,1.0
