seed,episode,mode,phase,context,relation_violation,probability_positive,correct,joint_descends
8801,48,relational,training,0.0,false,0.9409935682962083,true,true
8801,48,independent,training,0.0,false,0.49999999999999944,false,true
8801,49,relational,training,0.5,true,0.465952192549547,true,true
8801,49,independent,training,0.5,true,0.4999999999999994,true,true
8801,50,relational,training,1.0,true,0.40487853120169753,false,true
8801,50,independent,training,1.0,true,0.49999999999999944,false,true
8801,51,relational,training,-1.0,false,0.58917645517477,true,true
8801,51,independent,training,-1.0,false,0.49999999999999917,false,true
8801,52,relational,training,-0.5,false,0.8809612856240124,true,true
8801,52,independent,training,-0.5,false,0.5000000000000008,true,true
8801,53,relational,training,0.0,false,0.8070412506245848,false,true
8801,53,independent,training,0.0,false,0.49999999999999956,true,true
8801,54,relational,training,0.5,false,0.948631958677561,true,true
8801,54,independent,training,0.5,false,0.5000000000000002,true,true
8801,55,relational,training,1.0,false,0.29441428724261864,true,true
8801,55,independent,training,1.0,false,0.5,false,true
8801,56,relational,training,-1.0,true,0.18026034119174245,false,true
8801,56,independent,training,-1.0,true,0.5000000000000008,true,true
8801,57,relational,training,-0.5,false,0.4018543017741081,false,true
8801,57,independent,training,-0.5,false,0.4999999999999999,false,true
8801,58,relational,training,0.0,false,0.05066885497044974,true,true
8801,58,independent,training,0.0,false,0.5000000000000001,false,true
8801,59,relational,training,0.5,true,0.4022726297732989,true,true
8801,59,independent,training,0.5,true,0.49999999999999944,true,true
8801,60,relational,training,1.0,false,0.1771544857329974,true,true
8801,60,independent,training,1.0,false,0.4999999999999996,true,true
8801,61,relational,heldout_before,-1.4,false,0.37977201564549123,true,true
8801,61,independent,heldout_before,-1.4,false,0.49999999999999906,true,true
8801,62,relational,heldout_before,-1.4,false,0.5519544717517698,false,true
8801,62,independent,heldout_before,-1.4,false,0.4999999999999995,true,true
8801,63,relational,heldout_before,-1.4,false,0.9227920505496271,true,true
8801,63,independent,heldout_before,-1.4,false,0.5000000000000006,true,true
8801,64,relational,heldout_before,-1.4,false,0.16436352796520648,true,true
8801,64,independent,heldout_before,-1.4,false,0.4999999999999995,true,true
8801,65,relational,heldout_before,-1.4,false,0.0934036043427622,true,true
8801,65,independent,heldout_before,-1.4,false,0.5000000000000001,false,true
8801,66,relational,heldout_before,-1.4,false,0.27474565307436843,true,true
8801,66,independent,heldout_before,-1.4,false,0.5000000000000007,false,true
8801,67,relational,heldout_before,-1.4,false,0.3905081218643472,false,true
8801,67,independent,heldout_before,-1.4,false,0.4999999999999996,false,true
8801,68,relational,heldout_before,-1.4,false,0.6033135827190421,false,true
8801,68,independent,heldout_before,-1.4,false,0.49999999999999906,true,true
8801,69,relational,heldout_before,-1.4,false,0.6579544985940986,true,true
8801,69,independent,heldout_before,-1.4,false,0.49999999999999917,false,true
8801,70,relational,heldout_before,-1.4,false,0.40581332435910333,false,true
8801,70,independent,heldout_before,-1.4,false,0.4999999999999994,false,true
8801,71,relational,heldout_before,-1.4,false,0.2930720146409759,true,true
8801,71,independent,heldout_before,-1.4,false,0.5000000000000003,false,true
8801,72,relational,heldout_before,-1.4,false,0.5980037832591648,true,true
8801,72,independent,heldout_before,-1.4,false,0.5000000000000001,true,true
8801,73,relational,heldout_before,-1.4,false,0.5605003621525708,true,true
8801,73,independent,heldout_before,-1.4,false,0.4999999999999993,false,true
8801,74,relational,heldout_before,-1.4,false,0.8050551087399911,false,true
8801,74,independent,heldout_before,-1.4,false,0.49999999999999933,true,true
8801,75,relational,heldout_before,-1.4,false,0.6829222788621839,true,true
8801,75,independent,heldout_before,-1.4,false,0.5000000000000004,true,true
8801,76,relational,heldout_before,-1.4,true,0.07898652707752701,false,true
8801,76,independent,heldout_before,-1.4,true,0.49999999999999956,false,true
8801,77,relational,heldout_before,-1.4,false,0.23408241378622985,false,true
8801,77,independent,heldout_before,-1.4,false,0.4999999999999996,false,true
8801,78,relational,heldout_before,-1.4,false,0.10225338945574297,true,true
8801,78,independent,heldout_before,-1.4,false,0.5000000000000002,false,true
8801,79,relational,heldout_before,-1.4,false,0.14272676710764712,true,true
8801,79,independent,heldout_before,-1.4,false,0.5000000000000004,false,true
8801,80,relational,heldout_before,-1.4,false,0.7055698501270377,true,true
8801,80,independent,heldout_before,-1.4,false,0.5000000000000001,true,true
