event,precision,control,broadcast,real_danger,masked,E_T_logBF_P_T,E_T_logBF_D_T,E_T_logBF_P_D,E_D_logBF_P_T,E_D_logBF_D_T,E_D_logBF_P_D,E_P_logBF_P_T,E_P_logBF_D_T,E_P_logBF_P_D
True,ordinary,high,collapsed,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,ordinary,high,integrated,False,False,-0.5290393428063913,-0.05695124227477118,-0.47208810053162,-0.6461869921937182,0.05350973994632378,-0.699696732140042,0.5376231637248223,-0.17808190168045945,0.7157050654052819
True,ordinary,high,integrated,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,ordinary,high,integrated,True,False,-0.5290393428063913,-0.2856971881117044,-0.24334215469468684,-0.4984636039206655,0.29981269723451004,-0.7982763011551756,0.5376231637248223,-0.24981962367132465,0.7874427873961471
True,ordinary,high,integrated,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,overwhelm,low,collapsed,False,False,-1.479861662992762,-0.007655419373837801,-1.472206243618924,-1.34157770262586,0.007924948176183697,-1.349502650802044,1.4674637424336787,0.18904461675045628,1.2784191256832225
True,overwhelm,low,collapsed,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,overwhelm,low,collapsed,True,False,-1.479861662992762,-0.659203148667102,-0.8206585143256598,-0.49363638034097623,0.5454033677893241,-1.0390397481303002,1.4674637424336787,0.5434233349019615,0.924040407531717
True,overwhelm,low,collapsed,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,overwhelm,low,integrated,False,False,-1.8341950840441816,-0.12983807922281762,-1.7043570048213645,-2.0394414230921463,0.10885465772358038,-2.1482960808157268,1.8001909202119921,-0.37936278189127665,2.1795537021032687
True,overwhelm,low,integrated,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,overwhelm,low,integrated,True,False,-1.8341950840441816,-0.781385808516082,-1.0528092755281,-1.1915001008072628,0.646333077336721,-1.8378331781439838,1.8001909202119921,-0.024984063739771495,1.825174983951764
True,overwhelm,low,integrated,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,overwhelm,high,collapsed,False,False,-0.9685327279572125,-0.010331125112042734,-0.9582016028451696,-0.9111076040345292,0.011302552404850695,-0.9224101564393797,1.0080195179928197,0.0937814927605447,0.914238025232275
True,overwhelm,high,collapsed,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,overwhelm,high,collapsed,True,False,-0.9685327279572125,-0.5505773545855253,-0.4179553733716872,-0.5412853539330932,0.660905552235304,-1.202190906168397,1.0080195179928197,-0.07320610986406106,1.0812256278568808
True,overwhelm,high,collapsed,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,overwhelm,high,integrated,False,False,-1.322866149008632,-0.13251378496102237,-1.1903523640476095,-1.6089713245008148,0.1122322619522475,-1.7212035864530626,1.3407466957711338,-0.474625905881188,1.815372601652322
True,overwhelm,high,integrated,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,overwhelm,high,integrated,True,False,-1.322866149008632,-0.6727600144345047,-0.6501061345741272,-1.2391490743993792,0.7618352617827009,-2.0009843361820803,1.3407466957711338,-0.6416135085057938,1.9823602042769277
True,overwhelm,high,integrated,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
