seed,regulation,evidence_present,root_change,uptake
55000,false,false,0.0,0.45
55000,false,true,0.4594780645080339,0.45
55000,true,false,0.0,1.4277134251830086
55000,true,true,0.5648046581793735,1.3606551789061836
55001,false,false,0.0,0.45
55001,false,true,0.02889447281729061,0.45
55001,true,false,0.0,1.4151998111309003
55001,true,true,0.9908478998494958,1.4375223179962207
55002,false,false,0.0,0.45
55002,false,true,0.17093082222150124,0.45
55002,true,false,0.0,1.4246394895305772
55002,true,true,0.9523194299335974,1.397812641366866
55003,false,false,0.0,0.45
55003,false,true,0.003953358793577055,0.45
55003,true,false,0.0,1.4163757675870683
55003,true,true,0.2804822252368706,1.4261775020670346
55004,false,false,0.0,0.45
55004,false,true,0.010831379600603718,0.45
55004,true,false,0.0,1.4303407556944088
55004,true,true,0.6016303677935132,1.3585263695484944
55005,false,false,0.0,0.45
55005,false,true,0.01234958928043298,0.45
55005,true,false,0.0,1.4804930924959125
55005,true,true,0.7620175637690364,1.3515618474137066
55006,false,false,0.0,0.45
55006,false,true,0.20331298792806257,0.45
55006,true,false,0.0,1.485379981895991
55006,true,true,0.9266723526710293,1.4349989487283068
55007,false,false,0.0,0.45
55007,false,true,0.21873351353043546,0.45
55007,true,false,0.0,1.3959344214679135
55007,true,true,0.26191340542777886,1.4234509530180754
55008,false,false,0.0,0.45
55008,false,true,0.0009179499366231512,0.45
55008,true,false,0.0,1.4987309636643278
55008,true,true,0.07186795693355795,1.3926206224604627
55009,false,false,0.0,0.45
55009,false,true,0.0063208235084869025,0.45
55009,true,false,0.0,1.432199924188423
55009,true,true,0.6565261352371607,1.3775430907252697
55010,false,false,0.0,0.45
55010,false,true,0.3925900557153379,0.45
55010,true,false,0.0,1.4305729091176682
55010,true,true,0.9199277077968206,1.430481341716645
55011,false,false,0.0,0.45
55011,false,true,0.003895042066716584,0.45
55011,true,false,0.0,1.410825536974237
55011,true,true,0.964046626028979,1.50407350094237
