seed,regulation,evidence_present,root_change,uptake
704172,false,false,0.0,0.45
704172,false,true,0.5880117268169823,0.45
704172,true,false,0.0,1.4056571376838192
704172,true,true,0.8340341369333385,1.4301664558202065
704173,false,false,0.0,0.45
704173,false,true,0.0013470771728941362,0.45
704173,true,false,0.0,1.4379178059301831
704173,true,true,0.39091611282141814,1.452991223523099
704174,false,false,0.0,0.45
704174,false,true,0.31723732739787747,0.45
704174,true,false,0.0,1.4285233963793122
704174,true,true,0.9734839256783445,1.3817115911711282
704175,false,false,0.0,0.45
704175,false,true,0.2577200999433072,0.45
704175,true,false,0.0,1.3699364021902865
704175,true,true,0.966161809929657,1.3777060800167034
704176,false,false,0.0,0.45
704176,false,true,0.0006737665354666062,0.45
704176,true,false,0.0,1.4282258616847376
704176,true,true,0.7943653387143689,1.482290660331862
704177,false,false,0.0,0.45
704177,false,true,0.1139562259181704,0.45
704177,true,false,0.0,1.3944390476126571
704177,true,true,0.9043410142591972,1.4074146282903661
704178,false,false,0.0,0.45
704178,false,true,0.6736168451836485,0.45
704178,true,false,0.0,1.417052045828004
704178,true,true,0.898706098203135,1.4410290264483352
704179,false,false,0.0,0.45
704179,false,true,0.0010763608404512853,0.45
704179,true,false,0.0,1.5028023300923588
704179,true,true,0.15944343976792744,1.4040616112012727
704180,false,false,0.0,0.45
704180,false,true,0.6456615922532247,0.45
704180,true,false,0.0,1.4732956045231607
704180,true,true,0.837489024439662,1.5045982187847382
704181,false,false,0.0,0.45
704181,false,true,0.29997549992495964,0.45
704181,true,false,0.0,1.4462837403453568
704181,true,true,0.9756271627879605,1.4064268682225451
704182,false,false,0.0,0.45
704182,false,true,0.02734001008377644,0.45
704182,true,false,0.0,1.488743506752499
704182,true,true,0.9727202134159789,1.3903847965782203
704183,false,false,0.0,0.45
704183,false,true,0.20685685486692143,0.45
704183,true,false,0.0,1.492895411724469
704183,true,true,0.9743347379445634,1.464418095618569
704184,false,false,0.0,0.45
704184,false,true,0.19725582632791477,0.45
704184,true,false,0.0,1.3884660311736763
704184,true,true,0.9746976526707187,1.4584282915708948
704185,false,false,0.0,0.45
704185,false,true,0.0037485865495110464,0.45
704185,true,false,0.0,1.347318818983856
704185,true,true,0.8392850193671992,1.3977589482734105
704186,false,false,0.0,0.45
704186,false,true,0.3729392159805812,0.45
704186,true,false,0.0,1.428563910882668
704186,true,true,0.951289769672464,1.3988571172446915
704187,false,false,0.0,0.45
704187,false,true,9.880044449923935e-5,0.45
704187,true,false,0.0,1.3965204061540533
704187,true,true,0.01487974854683345,1.3775382406172987
704188,false,false,0.0,0.45
704188,false,true,0.11432988485994364,0.45
704188,true,false,0.0,1.4490427930671708
704188,true,true,0.9019988556865932,1.399600633408876
704189,false,false,0.0,0.45
704189,false,true,0.00397085927886188,0.45
704189,true,false,0.0,1.4559846083549042
704189,true,true,0.874730369363889,1.4284135110340044
704190,false,false,0.0,0.45
704190,false,true,0.016924520050414876,0.45
704190,true,false,0.0,1.375074947358809
704190,true,true,0.7950404775797572,1.4516857484898777
704191,false,false,0.0,0.45
704191,false,true,0.00014107826340209763,0.45
704191,true,false,0.0,1.4184352167480712
704191,true,true,0.02423945841921243,1.4040769469486136
704192,false,false,0.0,0.45
704192,false,true,0.022486548580430043,0.45
704192,true,false,0.0,1.5067963006184126
704192,true,true,0.48472625625897314,1.3767248677685302
704193,false,false,0.0,0.45
704193,false,true,0.7296122511075172,0.45
704193,true,false,0.0,1.4062049358084885
704193,true,true,0.895082163175066,1.4329204404578264
704194,false,false,0.0,0.45
704194,false,true,0.01147824645226871,0.45
704194,true,false,0.0,1.369010023876542
704194,true,true,0.4214234797531899,1.4880719275522638
704195,false,false,0.0,0.45
704195,false,true,4.278571474865087e-5,0.45
704195,true,false,0.0,1.4441077087169973
704195,true,true,0.03351342271565511,1.3268847958499346
704196,false,false,0.0,0.45
704196,false,true,0.013119521364536962,0.45
704196,true,false,0.0,1.4405307807562608
704196,true,true,0.8485963688498745,1.4339466423969822
704197,false,false,0.0,0.45
704197,false,true,0.030013236003085957,0.45
704197,true,false,0.0,1.4031685413282702
704197,true,true,0.8894318489558412,1.356454989270561
704198,false,false,0.0,0.45
704198,false,true,0.01830425601242716,0.45
704198,true,false,0.0,1.4497508662598357
704198,true,true,0.6035684897407717,1.3866123011154885
704199,false,false,0.0,0.45
704199,false,true,0.03558863041790679,0.45
