seed,favorable_policy,selected_policy,selection_tracks,registration,relational_change,learned_cost,learned_reliability
707321,exclusion,exclusion,true,false,0.0,0.14835903666236727,0.9991394816
707321,exclusion,exclusion,true,true,0.3344035881095152,0.14835903666236727,0.9991394816
707322,hypervigilance,hypervigilance,true,false,0.0,0.2329412412978859,0.9991394816
707322,hypervigilance,hypervigilance,true,true,0.3344035881095152,0.2329412412978859,0.9991394816
707323,internal_attack,internal_attack,true,false,0.0,0.1956423995582084,0.79532672
707323,internal_attack,internal_attack,true,true,0.3344035881095152,0.1956423995582084,0.79532672
707324,oscillation,oscillation,true,false,0.0,0.3236057285776034,0.94047872
707324,oscillation,oscillation,true,true,0.3344035881095152,0.3236057285776034,0.94047872
707325,exclusion,exclusion,true,false,0.0,0.24219993597299522,0.9426914816
707325,exclusion,exclusion,true,true,0.3344035881095152,0.24219993597299522,0.9426914816
707326,hypervigilance,hypervigilance,true,false,0.0,0.19346590355318982,0.9789085183999999
707326,hypervigilance,hypervigilance,true,true,0.3344035881095152,0.19346590355318982,0.9789085183999999
707327,internal_attack,internal_attack,true,false,0.0,0.35053765464160025,0.94047872
707327,internal_attack,internal_attack,true,true,0.3344035881095152,0.35053765464160025,0.94047872
707328,oscillation,oscillation,true,false,0.0,0.17637986256953037,0.73887872
707328,oscillation,oscillation,true,true,0.3344035881095152,0.17637986256953037,0.73887872
707329,exclusion,exclusion,true,false,0.0,0.2116583199222477,0.9991394816
707329,exclusion,exclusion,true,true,0.3344035881095152,0.2116583199222477,0.9991394816
707330,hypervigilance,hypervigilance,true,false,0.0,0.21475902158748786,0.9833340416
707330,hypervigilance,hypervigilance,true,true,0.3344035881095152,0.21475902158748786,0.9833340416
707331,internal_attack,internal_attack,true,false,0.0,0.2706364093554102,0.99692672
707331,internal_attack,internal_attack,true,true,0.3344035881095152,0.2706364093554102,0.99692672
707332,oscillation,oscillation,true,false,0.0,0.22335215878110565,0.79532672
707332,oscillation,oscillation,true,true,0.3344035881095152,0.22335215878110565,0.79532672
707333,exclusion,exclusion,true,false,0.0,0.21025368793731253,0.7410914815999999
707333,exclusion,exclusion,true,true,0.3344035881095152,0.21025368793731253,0.7410914815999999
707334,hypervigilance,internal_attack,false,false,0.0,0.5381465487093772,0.9246732799999999
707334,hypervigilance,internal_attack,false,true,0.3344035881095152,0.5381465487093772,0.9246732799999999
707335,internal_attack,exclusion,false,false,0.0,0.6851664181931605,0.9789085183999999
707335,internal_attack,exclusion,false,true,0.3344035881095152,0.6851664181931605,0.9789085183999999
707336,oscillation,hypervigilance,false,false,0.0,0.6771046330069175,0.9426914816
707336,oscillation,hypervigilance,false,true,0.3344035881095152,0.6771046330069175,0.9426914816
707337,exclusion,hypervigilance,false,false,0.0,0.5817666886682114,0.9224605184
707337,exclusion,hypervigilance,false,true,0.3344035881095152,0.5817666886682114,0.9224605184
707338,hypervigilance,hypervigilance,true,false,0.0,0.13013903948794042,0.7975394816
707338,hypervigilance,hypervigilance,true,true,0.3344035881095152,0.13013903948794042,0.7975394816
707339,internal_attack,hypervigilance,false,false,0.0,0.6323943687387255,0.7931139584
707339,internal_attack,hypervigilance,false,true,0.3344035881095152,0.6323943687387255,0.7931139584
707340,oscillation,oscillation,true,false,0.0,0.30642419341867494,0.99692672
707340,oscillation,oscillation,true,true,0.3344035881095152,0.30642419341867494,0.99692672
707341,exclusion,exclusion,true,false,0.0,0.16101233471267432,0.9991394816
707341,exclusion,exclusion,true,true,0.3344035881095152,0.16101233471267432,0.9991394816
707342,hypervigilance,hypervigilance,true,false,0.0,0.242783908069307,0.9991394816
707342,hypervigilance,hypervigilance,true,true,0.3344035881095152,0.242783908069307,0.9991394816
707343,internal_attack,internal_attack,true,false,0.0,0.1422654717046754,0.99692672
707343,internal_attack,internal_attack,true,true,0.3344035881095152,0.1422654717046754,0.99692672
707344,oscillation,internal_attack,false,false,0.0,0.617904328940065,0.94047872
707344,oscillation,internal_attack,false,true,0.3344035881095152,0.617904328940065,0.94047872
707345,exclusion,exclusion,true,false,0.0,0.20785815567893967,0.9991394816
707345,exclusion,exclusion,true,true,0.3344035881095152,0.20785815567893967,0.9991394816
707346,hypervigilance,hypervigilance,true,false,0.0,0.2043163523705022,0.9991394816
707346,hypervigilance,hypervigilance,true,true,0.3344035881095152,0.2043163523705022,0.9991394816
707347,internal_attack,internal_attack,true,false,0.0,0.2035925836036895,0.99692672
707347,internal_attack,internal_attack,true,true,0.3344035881095152,0.2035925836036895,0.99692672
707348,oscillation,oscillation,true,false,0.0,0.162314575969992,0.79532672
707348,oscillation,oscillation,true,true,0.3344035881095152,0.162314575969992,0.79532672
707349,exclusion,exclusion,true,false,0.0,0.20498727211671522,0.9268860416
707349,exclusion,exclusion,true,true,0.3344035881095152,0.20498727211671522,0.9268860416
707350,hypervigilance,hypervigilance,true,false,0.0,0.12290659686731234,0.9991394816
707350,hypervigilance,hypervigilance,true,true,0.3344035881095152,0.12290659686731234,0.9991394816
707351,internal_attack,internal_attack,true,false,0.0,0.394082816046665,0.99692672
707351,internal_attack,internal_attack,true,true,0.3344035881095152,0.394082816046665,0.99692672
707352,oscillation,oscillation,true,false,0.0,0.12813473430460992,0.79532672
707352,oscillation,oscillation,true,true,0.3344035881095152,0.12813473430460992,0.79532672
707353,exclusion,exclusion,true,false,0.0,0.2189902689751436,0.9991394816
707353,exclusion,exclusion,true,true,0.3344035881095152,0.2189902689751436,0.9991394816
707354,hypervigilance,hypervigilance,true,false,0.0,0.22750576654345217,0.9991394816
707354,hypervigilance,hypervigilance,true,true,0.3344035881095152,0.22750576654345217,0.9991394816
707355,internal_attack,internal_attack,true,false,0.0,0.31027806429759885,0.77952128
707355,internal_attack,internal_attack,true,true,0.3344035881095152,0.31027806429759885,0.77952128
707356,oscillation,hypervigilance,false,false,0.0,0.5709601826348272,0.7931139584
707356,oscillation,hypervigilance,false,true,0.3344035881095152,0.5709601826348272,0.7931139584
707357,exclusion,exclusion,true,false,0.0,0.15685134754337685,0.7975394816
707357,exclusion,exclusion,true,true,0.3344035881095152,0.15685134754337685,0.7975394816
707358,hypervigilance,hypervigilance,true,false,0.0,0.19742662711305495,0.9991394816
707358,hypervigilance,hypervigilance,true,true,0.3344035881095152,0.19742662711305495,0.9991394816
707359,internal_attack,internal_attack,true,false,0.0,0.199073248587561,0.9246732799999999
707359,internal_attack,internal_attack,true,true,0.3344035881095152,0.199073248587561,0.9246732799999999
707360,oscillation,oscillation,true,false,0.0,0.204129246647916,0.79532672
707360,oscillation,oscillation,true,true,0.3344035881095152,0.204129246647916,0.79532672
707361,exclusion,exclusion,true,false,0.0,0.18017566725388684,0.9426914816
707361,exclusion,exclusion,true,true,0.3344035881095152,0.18017566725388684,0.9426914816
707362,hypervigilance,hypervigilance,true,false,0.0,0.18147770099247215,0.9947139584
707362,hypervigilance,hypervigilance,true,true,0.3344035881095152,0.18147770099247215,0.9947139584
707363,internal_attack,internal_attack,true,false,0.0,0.18659273651877262,0.99692672
707363,internal_attack,internal_attack,true,true,0.3344035881095152,0.18659273651877262,0.99692672
707364,oscillation,oscillation,true,false,0.0,0.10297203061222487,0.99692672
707364,oscillation,oscillation,true,true,0.3344035881095152,0.10297203061222487,0.99692672
707365,exclusion,exclusion,true,false,0.0,0.15767508910029535,0.9833340416
707365,exclusion,exclusion,true,true,0.3344035881095152,0.15767508910029535,0.9833340416
707366,hypervigilance,hypervigilance,true,false,0.0,0.09967490227485948,0.7817340416
707366,hypervigilance,hypervigilance,true,true,0.3344035881095152,0.09967490227485948,0.7817340416
