cell,seed_start,seed_end,local_field,relational_field,packet_samples,violation_rate,local_mutual_information,relational_gain,action_gain,relational_seed_win_rate,action_seed_win_rate,before_channel_1,after_channel_3,budget_difference,signature_retained
baseline,15011,15015,0.1,1.5,4,0.05,0.01331544364054988,0.046666666666666634,0.08166666666666678,0.8,0.8,1.0,1.0,0.0,true
local_008,15021,15025,0.08,1.5,4,0.05,0.008618815919884643,0.07166666666666666,0.06166666666666665,1.0,1.0,1.0,1.0,0.0,true
local_012,15031,15035,0.12,1.5,4,0.05,0.018913356176987486,0.07333333333333325,0.06666666666666643,1.0,0.8,1.0,1.0,0.0,true
relation_120,15041,15045,0.1,1.2,4,0.05,0.013007600691491261,0.06666666666666665,0.08999999999999997,1.0,1.0,1.0,1.0,0.0,true
relation_180,15051,15055,0.1,1.8,4,0.05,0.01341120466765447,0.05999999999999983,0.07833333333333314,1.0,1.0,1.0,1.0,0.0,true
samples_3,15061,15065,0.1,1.5,3,0.05,0.01331544364054988,0.07333333333333336,0.05833333333333324,1.0,0.8,1.0,1.0,0.0,true
samples_5,15071,15075,0.1,1.5,5,0.05,0.01331544364054988,0.09166666666666679,0.08333333333333337,1.0,1.0,1.0,1.0,0.0,true
violation_010,15081,15085,0.1,1.5,4,0.1,0.01331544364054988,0.06833333333333325,0.10166666666666668,1.0,1.0,1.0,1.0,0.0,true
