edge_kind	parity_error	target_delta	reverse_target_delta	implementation_mutant_delta	unrelated_delta	named_trace_delta	named_mutant_delta
bundle_context	1.1102230246251565e-16	0.09000000000000008	0.0	0.09000000000000008	0.0	0.08000000000000007	0.08000000000000007
cue_root	1.1102230246251565e-16	0.08000000000000007	0.0	0.08000000000000007	0.0	0.08000000000000007	0.08000000000000007
local_monitor	1.1102230246251565e-16	0.11333333333333323	0.0	0.11333333333333323	0.0	0.08000000000000007	0.08000000000000007
local_to_global_broadcast	5.551115123125783e-17	0.13999999999999985	0.0	0.13999999999999985	0.0	0.08000000000000007	0.08000000000000007
global_precision_message	3.3306690738754696e-16	0.11333333333333312	0.0	0.11333333333333312	0.0	0.08000000000000007	0.08000000000000007
protector_joint_policy	1.1102230246251565e-16	0.09000000000000008	0.0	0.09000000000000008	0.0	0.08000000000000007	0.08000000000000007
protector_cross_prediction	1.1102230246251565e-16	0.11333333333333323	0.0	0.11333333333333323	0.0	0.08000000000000007	0.08000000000000007
partner_regulation	5.551115123125783e-17	0.13999999999999985	0.0	0.13999999999999985	0.0	0.08000000000000007	0.08000000000000007
partner_trust	1.1102230246251565e-16	0.11333333333333323	0.0	0.11333333333333323	0.0	0.08000000000000007	0.08000000000000007
policy_access	1.1102230246251565e-16	0.08000000000000007	0.0	0.08000000000000007	0.0	0.08000000000000007	0.08000000000000007
access_bundle	1.1102230246251565e-16	0.08000000000000007	0.0	0.08000000000000007	0.0	0.08000000000000007	0.08000000000000007
episode_scope	1.1102230246251565e-16	0.08666666666666667	0.0	0.08666666666666667	0.0	0.08000000000000007	0.08000000000000007
structure_scope	1.1102230246251565e-16	0.08666666666666667	0.0	0.08666666666666667	0.0	3.8826493277416168	3.8826493277416168
registration	1.1102230246251565e-16	0.07999999999999996	0.0	0.07999999999999996	0.0	-0.07999999999999996	-0.07999999999999996
world_coupling	1.1102230246251565e-16	0.09000000000000008	0.0	0.09000000000000008	0.0	0.08000000000000007	0.08000000000000007
