field	consumer
configuration.nodes[6].slot	typed-graph-compiler:identity
configuration.nodes[6].type	typed-graph-compiler:identity
configuration.nodes[7].active	typed-graph-compiler:identity
configuration.nodes[7].cardinality	typed-graph-compiler:identity
configuration.nodes[7].id	typed-graph-compiler:identity
configuration.nodes[7].slot	typed-graph-compiler:identity
configuration.nodes[7].type	typed-graph-compiler:identity
configuration.nodes[8].active	typed-graph-compiler:identity
configuration.nodes[8].cardinality	typed-graph-compiler:identity
configuration.nodes[8].id	typed-graph-compiler:identity
configuration.nodes[8].slot	typed-graph-compiler:identity
configuration.nodes[8].type	typed-graph-compiler:identity
configuration.nodes[9].active	typed-graph-compiler:identity
configuration.nodes[9].cardinality	typed-graph-compiler:identity
configuration.nodes[9].id	typed-graph-compiler:identity
configuration.nodes[9].slot	typed-graph-compiler:identity
configuration.nodes[9].type	typed-graph-compiler:identity
configuration.observation_channels[1].enabled	typed-graph-compiler:identity
configuration.observation_channels[1].id	typed-graph-compiler:identity
configuration.observation_channels[1].likelihood_family	typed-graph-compiler:identity
configuration.observation_channels[1].scope[1]	typed-graph-compiler:identity
configuration.observation_channels[1].scope[2]	typed-graph-compiler:identity
configuration.observation_channels[1].source	typed-graph-compiler:identity
configuration.observation_channels[1].value_labels[1]	typed-graph-compiler:identity
configuration.observation_channels[1].value_labels[2]	typed-graph-compiler:identity
configuration.observation_channels[1].value_labels[3]	typed-graph-compiler:identity
configuration.observation_channels[2].enabled	typed-graph-compiler:identity
configuration.observation_channels[2].id	typed-graph-compiler:identity
configuration.observation_channels[2].likelihood_family	typed-graph-compiler:identity
configuration.observation_channels[2].scope[1]	typed-graph-compiler:identity
configuration.observation_channels[2].scope[2]	typed-graph-compiler:identity
configuration.observation_channels[2].scope[3]	typed-graph-compiler:identity
configuration.observation_channels[2].source	typed-graph-compiler:identity
configuration.observation_channels[2].value_labels[1]	typed-graph-compiler:identity
configuration.observation_channels[2].value_labels[2]	typed-graph-compiler:identity
configuration.observation_channels[2].value_labels[3]	typed-graph-compiler:identity
configuration.observation_channels[2].value_labels[4]	typed-graph-compiler:identity
configuration.observation_channels[3].enabled	typed-graph-compiler:identity
configuration.observation_channels[3].id	typed-graph-compiler:identity
configuration.observation_channels[3].likelihood_family	typed-graph-compiler:identity
configuration.observation_channels[3].scope[1]	typed-graph-compiler:identity
configuration.observation_channels[3].scope[2]	typed-graph-compiler:identity
configuration.observation_channels[3].source	typed-graph-compiler:identity
configuration.observation_channels[3].value_labels[1]	typed-graph-compiler:identity
configuration.observation_channels[3].value_labels[2]	typed-graph-compiler:identity
configuration.policy_families[1].actions[1]	typed-graph-compiler:identity
configuration.policy_families[1].actions[2]	typed-graph-compiler:identity
configuration.policy_families[1].actions[3]	typed-graph-compiler:identity
configuration.policy_families[1].actions[4]	typed-graph-compiler:identity
configuration.policy_families[1].actions[5]	typed-graph-compiler:identity
configuration.policy_families[1].actions[6]	typed-graph-compiler:identity
configuration.policy_families[1].actor_nodes[1]	typed-graph-compiler:identity
configuration.policy_families[1].actor_nodes[2]	typed-graph-compiler:identity
configuration.policy_families[1].actor_nodes[3]	typed-graph-compiler:identity
configuration.policy_families[1].enabled	typed-graph-compiler:identity
configuration.policy_families[1].family	typed-graph-compiler:identity
configuration.policy_families[1].id	typed-graph-compiler:identity
configuration.structure_candidates[1].active_edges[1]	typed-graph-compiler:identity
configuration.structure_candidates[1].active_edges[2]	typed-graph-compiler:identity
configuration.structure_candidates[1].family	typed-graph-compiler:identity
configuration.structure_candidates[1].id	typed-graph-compiler:identity
configuration.structure_candidates[1].structure_node	typed-graph-compiler:identity
configuration.structure_candidates[2].active_edges[1]	typed-graph-compiler:identity
configuration.structure_candidates[2].family	typed-graph-compiler:identity
configuration.structure_candidates[2].id	typed-graph-compiler:identity
configuration.structure_candidates[2].inactive_edges[1]	typed-graph-compiler:identity
configuration.structure_candidates[2].structure_node	typed-graph-compiler:identity
genome.action_costs.approach	compiler/Compiler.jl,policy/Policy.jl
genome.action_costs.inspect	compiler/Compiler.jl,policy/Policy.jl
genome.action_costs.observe	compiler/Compiler.jl,policy/Policy.jl
genome.action_costs.offer_support	compiler/Compiler.jl,policy/Policy.jl
genome.action_costs.permit	compiler/Compiler.jl,policy/Policy.jl
genome.action_costs.request_support	compiler/Compiler.jl,policy/Policy.jl
genome.action_costs.suppress	compiler/Compiler.jl,policy/Policy.jl
genome.action_costs.wait	compiler/Compiler.jl,policy/Policy.jl
genome.action_costs.withdraw	compiler/Compiler.jl,policy/Policy.jl
genome.approximation_iterations	inference/Inference.jl
genome.approximation_tolerance	inference/Inference.jl
genome.contract_id	compiler/Compiler.jl
genome.contract_version	compiler/Compiler.jl
genome.dirichlet_concentration	factors/Factors.jl,inference/Inference.jl,structure/Structure.jl
genome.genome_id	compiler/Compiler.jl
genome.learning_rate	learning/Learning.jl
genome.message_gain	inference/Inference.jl,policy/Policy.jl
genome.policy_temperature	policy/Policy.jl
genome.precision_floor	inference/Inference.jl
genome.structure_complexity_penalty	inference/Inference.jl
