seed,policy,o2_truth_reliability,o2_matches,o2_trials,o2_posterior_mean,h1_episode_log_bf,h1_cumulative_log_bf,h2_episode_log_bf,h2_cumulative_log_bf,paired_latent_mismatch
800347,0,0.8949501350596916,3,5,0.5714285714285714,0.9248599574784393,0.9248599574784393,1.0602779601476513,1.0602779601476513,0
800348,0,0.8677495259376019,5,5,0.75,-0.5881399552859303,0.33672000219250897,1.1115497426905918,2.171827702838243,0
800349,0,0.8669061506812773,4,5,0.7647058823529411,0.31009454691819904,0.646814549110708,1.4407421374199387,3.612569840258182,0
800350,0,0.7969783448135284,4,5,0.7727272727272727,0.7005230862390128,1.3473376353497208,-1.3513741383698523,2.2611957018883295,0
800351,0,0.8825245443154931,5,5,0.8148148148148148,1.7889603234828737,3.1362979588325945,1.0448631246317301,3.3060588265200597,0
800352,0,0.8036244770671391,4,5,0.8125,1.654723436788716,4.791021395621311,1.5569925148125883,4.863051341332648,0
800353,0,0.8428238410028969,4,5,0.8108108108108109,-0.05646096951243784,4.734560426108873,-0.712639663411041,4.150411677921607,0
800354,0,0.8008436242518543,4,5,0.8095238095238095,0.3883486255408872,5.12290905164976,0.5187107430036448,4.669122420925252,0
800355,0,0.8577905321250094,4,5,0.8085106382978723,-0.9730439910667013,4.149865060583059,2.442401936245318,7.11152435717057,0
800356,0,0.8303802036614328,4,5,0.8076923076923077,0.7796321594866455,4.929497220069704,-0.850721089991973,6.260803267178597,0
800357,1,0.880166504361262,5,5,0.8245614035087719,0.46781005437423673,5.397307274443941,1.3727569672894564,7.633560234468053,0
800358,1,0.8289403138783831,3,5,0.8064516129032258,0.8504911478248136,6.247798422268755,0.5389449840069744,8.172505218475028,0
800359,1,0.8922176904698222,5,5,0.8208955223880597,-0.5465710998837956,5.701227322384959,0.15707034793768848,8.329575566412716,0
800360,1,0.8148075109345968,3,5,0.8055555555555556,-1.728346360759506,3.972880961625453,1.9523284422483442,10.28190400866106,0
800361,1,0.8792913005565242,4,5,0.8051948051948052,1.4652206998209376,5.438101661446391,1.7756591827278054,12.057563191388866,0
800362,1,0.8311078496427327,3,5,0.7926829268292683,-0.005983616387904789,5.432118045058486,-0.13494654601956313,11.922616645369303,0
800363,1,0.8941166152258347,5,5,0.8045977011494253,-1.0657895878982107,4.366328457160275,2.1215138211293674,14.04413046649867,0
800364,1,0.8885117492911915,4,5,0.8043478260869565,0.14706174025565488,4.51339019741593,0.7157787843215537,14.759909250820224,0
800365,1,0.8368469091249878,3,5,0.7938144329896907,1.153840001425234,5.667230198841164,0.09386524389506512,14.853774494715289,0
800366,1,0.8877537644358893,5,5,0.803921568627451,2.2276216206859214,7.894851819527085,-2.3130088567898364,12.540765637925453,0
800367,0,0.8518206853702405,4,5,0.8037383177570093,0.6432009757767201,8.538052795303805,-0.02412621616688959,12.516639421758564,0
800368,1,0.8349580919308021,4,5,0.8035714285714286,-0.07805077094487167,8.460002024358934,1.7229571187860202,14.239596540544584,0
800369,0,0.8129081933559594,4,5,0.8034188034188035,-1.7019152554250763,6.7580867689338575,1.2120045517813,15.451601092325884,0
800370,1,0.8726615528486802,4,5,0.8032786885245902,-1.09697953606506,5.6611072328687975,1.3117429796972733,16.76334407202316,0
800371,0,0.895291080330545,4,5,0.8031496062992126,1.366285104760566,7.027392337629363,0.1731980301513012,16.93654210217446,0
800372,1,0.8066512917743414,5,5,0.8106060606060606,2.0664141899079143,9.093806527537279,-0.8094781454901039,16.127063956684356,0
800373,0,0.8684481561016928,5,5,0.8175182481751825,1.881493662548543,10.975300190085822,2.5308253236538203,18.657889280338175,0
800374,1,0.8438024433869401,4,5,0.8169014084507042,1.578404321343128,12.55370451142895,-0.93136983339841,17.726519446939765,0
800375,0,0.804425919953454,4,5,0.8163265306122449,-0.3925347904485488,12.161169720980402,-0.6323346300127106,17.094184816927054,0
800376,1,0.8709623786678934,5,5,0.8223684210526315,2.2161015979536893,14.377271318934092,2.609521697654115,19.70370651458117,0
800377,0,0.8906165146509613,5,5,0.8280254777070064,1.8304034417653527,16.207674760699444,1.832793119968379,21.53649963454955,0
800378,1,0.7835374117883168,4,5,0.8271604938271605,0.9697337966992521,17.177408557398696,-0.2571911140840246,21.279308520465527,0
800379,0,0.8914870365540837,4,5,0.8263473053892215,-0.373522822891978,16.803885734506718,-0.5650706260937621,20.714237894371763,0
800380,1,0.8298521167115606,4,5,0.8255813953488372,0.21071419236738542,17.014599926874105,0.19182000080798645,20.90605789517975,0
800381,0,0.875636304453041,5,5,0.8305084745762712,0.6677978278251944,17.6823977546993,3.7403556897395367,24.646413584919287,0
800382,1,0.8204264818541841,3,5,0.8241758241758241,1.0008999461991,18.6832977008984,2.4369603437792335,27.08337392869852,0
800383,0,0.8149079589177871,5,5,0.8288770053475936,0.5467274476330477,19.230025148531446,0.2581506771861406,27.34152460588466,0
800384,1,0.8621125582443884,5,5,0.8333333333333334,-0.9809418243602614,18.249083324171185,1.3357653699252001,28.677289975809863,0
800385,0,0.8166797131064013,4,5,0.8324873096446701,0.28955345499927443,18.53863677917046,-3.0585766706942294,25.618713305115634,0
800386,1,0.8237380840760052,4,5,0.8316831683168316,0.4659468603788195,19.00458363954928,1.9014602406208887,27.520173545736522,0
