seed,episode,regime,agent,context,correct,samples,first_action,probability_positive,phi_channel_1,phi_channel_3,joint_descends,depth_readout,policy_entropy,policy_free_energy,active_inference_objective
8701,1,training,full,-1.0,true,3,1,0.04671655790009896,1.767985981831128,-0.9271697970235109,true,0.758068009763804,0.0,0.0,27.759818436205684
8701,1,training,local,-1.0,true,3,1,0.017919923176208243,1.0341939576939856,-0.9814735384556811,true,0.6813593389738782,0.0,0.0,30.63965648272338
8701,1,training,random,-1.0,true,3,1,0.04671655790009896,1.767985981831128,-0.9271697970235109,true,0.758068009763804,0.0,0.0,27.759818436205684
8701,1,training,fixed,-1.0,true,3,1,0.04671655790009896,1.767985981831128,-0.9271697970235109,true,0.758068009763804,0.0,0.0,27.759818436205684
8701,1,training,no_binding,-1.0,true,3,1,0.3064549574990215,1.7628825426989565,-1.0124373043594768,true,0.7586053200277707,0.0,0.0,28.028228295036552
8701,2,training,full,-0.5,true,3,1,0.9238677551428605,1.144463728925265,-0.020645153801131556,true,0.8089621581424967,0.0,0.0,22.01826551802388
8701,2,training,local,-0.5,true,3,1,0.8492661093046857,0.7945267434268303,-0.36002004796147974,true,0.7602508636066235,0.0,0.0,23.734032558854928
8701,2,training,random,-0.5,true,3,1,0.9238677551428605,1.144463728925265,-0.020645153801131556,true,0.8089621581424967,0.0,0.0,22.01826551802388
8701,2,training,fixed,-0.5,true,3,1,0.964843479552652,0.7823650226780661,0.5976051845629993,true,0.7574481223534477,0.0,0.0,25.14440006389623
8701,2,training,no_binding,-0.5,true,3,1,0.6683533447475116,1.1080444977949868,-0.09687648595331833,true,0.8090630100511429,0.0,0.0,22.249679056184686
8701,3,training,full,0.0,false,3,1,0.4228983002094272,0.35399519870820534,0.5483613253794396,true,0.8248718129579636,0.0,0.0,22.789426405723855
8701,3,training,local,0.0,false,3,1,0.3192048697627013,0.1600390092018885,0.06394399390227823,true,0.7630067163121054,0.0,0.0,24.461340438450428
8701,3,training,random,0.0,false,3,1,0.4228983002094272,0.35399519870820534,0.5483613253794396,true,0.8248718129579636,0.0,0.0,22.789426405723855
8701,3,training,fixed,0.0,false,3,1,0.42756702986010675,0.262704298959411,0.4471259465043653,true,0.7758771932382513,0.0,0.0,25.77491066499587
8701,3,training,no_binding,0.0,false,3,1,0.4751541232416328,0.3562028193247495,0.5198431848908233,true,0.8230026730175124,0.0,0.0,22.512615865386692
8701,4,training,full,0.5,true,3,1,0.9978687811617237,-0.0889240740577349,1.0742710163761213,true,0.824476840276033,0.0,0.0,22.344436673501953
