index,seed,reliability_scale,persistent_prior,adaptive_persistence,policy_effect,transition_effect,observation_effect,structure_effect,root_effect,mediator_effect
0,62300,1.0517311667666371,0.1793363377725878,0.9560446812491941,0.875,0.5,0.5,0.2838531299056912,0.9806512935280457,0.25
1,62301,0.9811007865851706,0.291085595147085,0.999748907503751,0.5625,0.5,0.375,-0.10852692397627833,0.6632349913897151,0.41964285714285715
2,62302,1.058036933526914,0.2381951670477664,0.9999932816249321,1.0,0.875,0.75,0.30953342007127316,0.9952941491075175,0.875
3,62303,1.0844868751078607,0.3442100078108315,0.9999471777743463,0.375,0.3125,0.3125,-0.15234724206516237,0.14065640824304,0.375
4,62304,1.0344793718471028,0.14310725576490707,0.9997474771206426,0.3125,0.0625,0.0625,0.020848898290510454,-0.06886007423708523,0.1875
5,62305,1.0883491193185735,0.16471381987793288,0.9999653788897852,0.8125,0.5625,0.5625,0.12884468992607456,0.9977903139305344,0.2291666666666667
6,62306,0.9898836166962818,0.1098094810683109,0.9959105786419621,0.25,0.125,0.125,-0.10177181321279043,-0.03758799236037877,0.14583333333333334
7,62307,0.9018191317106614,0.11549437308472993,0.9961855686330467,0.75,0.5,0.375,0.620617274737099,0.8056283701277591,0.5625
8,62308,0.9133367467552287,0.1664096413893778,0.9997068771993577,0.875,0.6875,0.5625,0.6738354300861491,0.91601773685875,0.6875
9,62309,0.9899181301222486,0.21546346648923007,0.9996446390827444,0.8125,0.6875,0.6875,0.518961763944037,0.9843392244318007,0.47916666666666674
10,62310,0.9820515204900858,0.16361195022203112,0.998868859090742,0.125,0.0,0.0,-0.15377488099984649,-0.010188540878737481,0.0625
11,62311,0.9707696290445373,0.27858292419672775,0.9997795787994194,0.25,0.0,0.0,-0.00805117025034141,-0.019990510813189276,0.0
12,62312,0.9824492388710855,0.28084976695786473,0.9999882295539504,0.375,0.3125,0.3125,0.03558725203759294,0.29202900818533617,0.26249999999999996
13,62313,0.9075028733878698,0.23458777911922105,0.9998868793819836,0.5625,0.25,0.125,0.07596577831966764,0.10952896291143452,0.375
14,62314,1.0003807117439745,0.3440632500467331,0.9966499879684467,0.6875,0.25,0.125,0.44624415161089204,0.7555558236427562,0.03749999999999998
15,62315,1.0261034839039371,0.2558120306097145,0.9997398017483495,0.4375,0.1875,0.1875,-0.025897012762104432,0.024633512555808895,0.1388888888888889
16,62316,1.0379361008613197,0.16847897653867905,0.9946179231740637,0.8125,0.4375,0.4375,0.6731977924313528,0.7922924710636186,0.625
17,62317,1.0099730374527045,0.13951403520926176,0.829594141178372,0.625,0.375,0.125,-0.1268512523974583,-0.027819861014864,0.45833333333333337
18,62318,0.9788682741441703,0.2211415707766438,0.9372786095645188,0.5625,0.25,0.25,0.41703964446521635,0.6158953521450623,0.4375
19,62319,1.0585056059641873,0.210288538514263,0.9956341421775186,0.1875,0.0,0.0,-0.09170335956962919,-0.017450640390677535,0.17307692307692307
20,62320,1.0344135595214154,0.3290787514068582,0.9994518603670813,0.125,0.0,0.0,-0.25834714788378066,-0.0077631447963995934,-0.008928571428571428
21,62321,0.968293004264715,0.2842906624830786,0.9993795447297649,0.625,0.1875,0.0625,0.007525169846422597,0.2005926125892497,0.3125
22,62322,0.9464940317012187,0.20695921256817848,0.9998228722983776,0.1875,0.1875,0.1875,-0.2554966513256508,0.03720338040998315,0.15865384615384615
23,62323,0.9342316535719317,0.14056569120110662,0.9978155261419951,0.125,0.0,0.0,-0.24377577303872416,-0.03629963600451162,-0.008928571428571428
24,62324,1.0956286805505042,0.19154527589338316,0.9999650774190599,0.25,0.3125,0.3125,-0.09596477075527576,0.0575392005258864,0.1875
25,62325,0.9953957446193058,0.2542258566072267,0.9996670727274126,0.25,0.0625,0.0625,-0.03146788253295135,-0.0529095740775363,0.04166666666666667
26,62326,1.0282043553423117,0.18817324568411828,0.9912484579957241,0.25,0.1875,0.1875,0.08468416449077104,-0.027110638801885724,0.14583333333333334
27,62327,0.9993941046065664,0.2838443943000749,0.9986324705615591,0.375,0.0625,0.0625,0.13119001967454502,-0.05367474694496323,0.0625
28,62328,1.030320348867408,0.29457916716937455,0.9999075015891817,0.375,0.125,0.125,0.09591299756572025,0.006941218547547324,0.125
29,62329,1.0406673285684078,0.24882832108834851,0.999993013229645,0.25,0.25,0.125,-0.04845058072754871,0.03803083080605629,0.125
30,62330,1.0764327923256296,0.12975645495226135,0.9996218991465631,0.75,0.375,0.25,-0.06973724229385092,0.23994307543830848,0.375
31,62331,1.055993778086692,0.29777555448558846,0.795586561246638,0.9375,0.8125,0.8125,0.5389216095512082,0.983010603096508,0.875
