seed,model,world_accuracy,heldout_nll,ece,future_reliability_brier,context_recovery_accuracy,switch_recovery_accuracy
11,FlatFixed,0.805625,2.3949109568829505,0.05565309125545689,0.22746861924686193,NaN,0.7333333333333333
11,LocalPrecision,0.8141666666666666,2.2590740972124195,0.05022909874314292,0.18902984615680413,NaN,0.7050000000000001
11,BLTGlobal,0.8125,2.254469940773721,0.04830383640444061,0.18815126854857897,0.744,0.7016666666666667
23,FlatFixed,0.7975000000000001,2.390973157372415,0.05227308413479281,0.228347280334728,NaN,0.7533333333333333
23,LocalPrecision,0.8029166666666667,2.2372575545184548,0.04605455447385341,0.18390966355184188,NaN,0.7549999999999999
23,BLTGlobal,0.8010416666666667,2.232420023306075,0.04300138109042871,0.18253467391033934,0.7274999999999999,0.7533333333333333
37,FlatFixed,0.7920833333333334,2.3811026591777127,0.054417936607662046,0.22690376569037657,NaN,0.7733333333333333
37,LocalPrecision,0.8039583333333333,2.2331279244411197,0.052577177937170316,0.1855805710619046,NaN,0.7783333333333333
37,BLTGlobal,0.8052083333333332,2.2276771531034463,0.0456522656727487,0.1845658080081502,0.71475,0.775
53,FlatFixed,0.7933333333333334,2.3942944544703466,0.058241771076196616,0.22800209205020922,NaN,0.7366666666666666
53,LocalPrecision,0.8087500000000001,2.249476157812522,0.049595902905998704,0.18645452293095222,NaN,0.7333333333333333
53,BLTGlobal,0.8058333333333334,2.2449241207114534,0.046712048126975825,0.18533410721468135,0.7095,0.7400000000000001
71,FlatFixed,0.7831250000000001,2.374533792225861,0.06335067000783191,0.22768828451882844,NaN,0.7133333333333334
71,LocalPrecision,0.7962499999999999,2.2162102862289577,0.048908908150520396,0.18321535159663546,NaN,0.7266666666666667
71,BLTGlobal,0.7954166666666668,2.2101422618611304,0.052373337772771755,0.1820800451398526,0.724,0.7166666666666666
97,FlatFixed,0.805625,2.367377653851217,0.061815661339390426,0.2274058577405858,NaN,0.745
97,LocalPrecision,0.8152083333333333,2.2316617175508133,0.050483609483065225,0.18760128713200616,NaN,0.7366666666666667
97,BLTGlobal,0.8143750000000001,2.2276462672257202,0.046291803566260864,0.18659949627572353,0.73375,0.74
131,FlatFixed,0.7906249999999999,2.3812260337448587,0.06065622138008488,0.2269037656903766,NaN,0.76
131,LocalPrecision,0.8010416666666667,2.225902003175612,0.044131050021467555,0.18312453952534136,NaN,0.7466666666666666
131,BLTGlobal,0.8010416666666667,2.2213006976665524,0.04424160843667997,0.1822792462776785,0.7147499999999999,0.7466666666666666
173,FlatFixed,0.7833333333333333,2.387458859017057,0.06611286680630708,0.229163179916318,NaN,0.7316666666666667
173,LocalPrecision,0.7922916666666666,2.2371568096033423,0.04937729034174961,0.18584906606775461,NaN,0.7316666666666667
173,BLTGlobal,0.7939583333333333,2.232520827788699,0.04872085903942673,0.18475410095376282,0.707,0.7266666666666668
211,FlatFixed,0.7872916666666667,2.3692162632594114,0.06466481161483108,0.22756276150627616,NaN,0.7433333333333334
211,LocalPrecision,0.7977083333333332,2.210692923131721,0.0432366481363569,0.18269622685984604,NaN,0.7516666666666667
211,BLTGlobal,0.7979166666666667,2.2052687669623685,0.04289332100494001,0.1816555968483707,0.71,0.7416666666666667
251,FlatFixed,0.7754166666666668,2.375949463280196,0.07225751333371078,0.2263702928870293,NaN,0.775
251,LocalPrecision,0.7841666666666667,2.2396806448332782,0.054372931923106146,0.18684517835197284,NaN,0.7716666666666666
251,BLTGlobal,0.7864583333333333,2.2351110042771025,0.051094575868575055,0.1859995923413255,0.71825,0.7649999999999999
