seed,model,scene_accuracy,coherence,binding_index,micro_switch_rate,mean_dwell,confident_wrong,heldout_nll,unambiguous_accuracy
11,HierFixed,0.46099999999999997,0.20011390628329395,0.11934127918133486,0.04020100502512563,22.22222222222222,0.0,1.3796867881715413,0.0
11,LocalBranch,0.54925,0.506969897744072,0.026031601085014625,0.1507537688442211,6.451612903225806,0.04,1.36098334476324,1.0
11,BLTGlobal,0.5775000000000001,0.5762008453279972,0.3630891941616117,0.010050251256281407,66.66666666666667,0.04,1.3482484328261202,1.0
23,HierFixed,0.523,0.1990220146373228,0.14640569745361684,0.020100502512562814,40.0,0.0,1.3803312405212997,0.0
23,LocalBranch,0.4792500000000001,0.49491877898518916,0.040632354289329944,0.09045226130653267,10.526315789473685,0.04,1.3683631152471776,1.0
23,BLTGlobal,0.5385,0.5572198697081839,0.30327967477526985,0.01507537688442211,50.0,0.035,1.3566624384856043,1.0
37,HierFixed,0.526,0.1983055615040823,0.08251254072308313,0.01507537688442211,50.0,0.0,1.379026777208246,0.0
37,LocalBranch,0.47975,0.5014890750144698,0.024320375799577687,0.08040201005025126,11.764705882352942,0.045,1.3613156971475575,1.0
37,BLTGlobal,0.5965,0.5749015763438329,0.14481224756154643,0.07035175879396985,13.333333333333334,0.06,1.3462070853894141,1.0
53,HierFixed,0.48100000000000004,0.19912839958827017,0.11835951548240262,0.03015075376884422,28.571428571428573,0.0,1.3796749610555894,0.0
53,LocalBranch,0.526,0.5015877151342268,0.03614556682123719,0.11557788944723618,8.333333333333334,0.04,1.360726866518163,1.0
53,BLTGlobal,0.54075,0.5692384075925856,0.25530958261868436,0.020100502512562814,40.0,0.035,1.3458460261673766,1.0
71,HierFixed,0.47624999999999995,0.2000379758444517,0.14634512793438353,0.04522613065326633,20.0,0.0,1.380773391721116,0.0
71,LocalBranch,0.5367500000000001,0.48719235860154686,0.03127183558572858,0.10050251256281408,9.523809523809524,0.03,1.3644426541217058,1.0
71,BLTGlobal,0.542,0.5646526907367836,0.33408730583929724,0.010050251256281407,66.66666666666667,0.025,1.352589847833388,1.0
97,HierFixed,0.50925,0.19728568635104102,0.12464022527520421,0.05025125628140704,18.181818181818183,0.0,1.3792959097419344,0.0
97,LocalBranch,0.5085,0.4991561354126525,0.03604994377042638,0.11557788944723618,8.333333333333334,0.04,1.3621453820761171,1.0
97,BLTGlobal,0.6005,0.5648199982068954,0.31674682253333186,0.005025125628140704,100.0,0.235,1.348412141566019,1.0
131,HierFixed,0.52175,0.20548129582203253,0.13861572789366952,0.020100502512562814,40.0,0.0,1.3802486595539682,0.0
131,LocalBranch,0.4875,0.4962215170972402,0.038937159623772304,0.10552763819095477,9.090909090909092,0.04,1.365152399820835,1.0
131,BLTGlobal,0.5625,0.5712711300387499,0.24708182270081544,0.020100502512562814,40.0,0.11,1.3498807287208647,1.0
173,HierFixed,0.51025,0.1994776982308246,0.21823226566705636,0.01507537688442211,50.0,0.0,1.3802248517135922,0.0
173,LocalBranch,0.5,0.49207782938320027,0.046274686155833654,0.09547738693467336,10.0,0.04,1.3655656043819697,1.0
173,BLTGlobal,0.5832499999999999,0.5717039715107852,0.39769639594915773,0.010050251256281407,66.66666666666667,0.035,1.3534505259570044,0.985
211,HierFixed,0.47450000000000003,0.1981687545312809,0.14046524475617045,0.020100502512562814,40.0,0.0,1.3789716953755202,0.0
211,LocalBranch,0.53325,0.5007978182211217,0.03610085009935565,0.08542713567839195,11.11111111111111,0.04,1.3581890378136505,1.0
211,BLTGlobal,0.52175,0.5625961250071574,0.3556419673138309,0.010050251256281407,66.66666666666667,0.035,1.3436067362440554,1.0
251,HierFixed,0.4942500000000001,0.2056677037798102,0.15305564867204585,0.03015075376884422,28.571428571428573,0.0,1.3806858083752227,0.0
251,LocalBranch,0.5090000000000001,0.49963364960555345,0.03410156556700971,0.08542713567839195,11.11111111111111,0.04,1.3694328008139462,1.0
251,BLTGlobal,0.5389999999999999,0.5643415696197331,0.38015458608874747,0.010050251256281407,66.66666666666667,0.04,1.3572425247710111,1.0
