scenario,t,x_true,y,x_mean,x_var,z_mean,h_mean
dream,1,-0.14085745712047523,0.08985631646349121,0.08800909298022296,0.09794424748757781,0.1654370750840382,-0.21587983124398344
dream,2,-2.7759712986005582,-2.9997444700890976,-2.925637324487229,0.09759654042219525,-1.804242106039483,-1.4538232665348891
dream,3,-3.196806300227559,-2.932695464471542,-2.9171342453149505,0.08985182044702987,-0.6378746367417591,-0.908203033272321
dream,4,-1.0201412718693288,-0.7970475780586551,-0.8749458751965158,0.09605424398809542,-1.2801574582685813,-1.3096105032453995
dream,5,-1.719919199126539,-1.7295294632297906,-1.6749076343736493,0.09391963140050197,-0.9443023671540807,-1.2417257105565922
dream,6,-1.2011347146009514,-0.5396063309333751,-0.598751883126227,0.09437542493260657,-0.9788721550884828,-1.2487996093468783
dream,7,-2.929783021110107,-3.0865333538098594,-3.020574927979267,0.09738023091012399,-1.644533928667551,-1.6192120233911518
dream,8,0.972881956668686,1.2352597778335854,1.1825926149733788,0.09871693903729066,-2.329694769000791,-2.1291874338489025
dream,9,-0.37617891085221933,-0.50793430532025,-0.46999166631670125,0.09767422446716631,-1.884511034895232,-2.135646930462124
dream,10,2.238714257756052,1.9475847362221705,1.9056302257109894,0.09824757041318345,-2.117781638581998,-2.2865907600819786
dream,11,5.5816761780218895,5.713396419813193,5.673424936202197,0.09897589046744629,-2.601939668071741,-2.610702310355757
dream,12,6.459046121377277,6.441118382859512,6.420703512447698,0.09805825033514447,-2.1423634579263133,-2.3903100904466936
dream,13,7.2531004229046525,7.0887703137206435,7.065284734273078,0.09762556541224562,-1.9314559324651217,-2.1879737912845965
dream,14,7.3843849328825675,6.9236353391243215,6.916458617452011,0.09660859246958359,-1.6118831275108096,-1.7456478971530978
dream,15,6.491459856953822,6.829019030257296,6.816198363901786,0.09503812197295058,-1.1912357492316554,-1.3859834906928548
dream,16,4.62776202142731,4.372699969318939,4.434612084477273,0.09705557357385179,-1.5416311105609315,-1.6280237828111146
dream,17,3.6319899360922423,3.391218074868231,3.428528373182372,0.09545917487993145,-1.222582392659737,-1.497878908832998
dream,18,1.5023999901797498,0.6676451014116077,0.7265398354534605,0.09772559508102707,-1.7872215000485818,-1.804120980955242
dream,19,1.142580842191894,1.2569612750395411,1.2323897815874547,0.09566447967166358,-1.3079377524555016,-1.5542631128740065
dream,20,0.7780776436127431,0.6082329125516136,0.6381167318795189,0.09468767402972973,-1.0788377754834104,-1.340391956686092
dream,21,-1.6649290795124325,-1.773379573433995,-1.7098030567756413,0.09732825805557356,-1.620809428137939,-1.6416510499212729
dream,22,-2.57581003662522,-2.138628603757197,-2.112795472820321,0.09497718406303754,-1.1470086258536052,-1.3968036352862119
dream,23,-5.158956436510389,-5.209059561014976,-5.148371512169529,0.09810462613919166,-1.9387920479170488,-1.8160152701747343
dream,24,-6.858695103864985,-6.798841385555634,-6.75082737300371,0.09748339518606422,-1.748132128006462,-1.9365986805645496
dream,25,-7.852962787635288,-8.263021751083436,-8.21870462916779,0.097604137672422,-1.8133419033927434,-2.0235657178458313
dream,26,-8.850889232127399,-8.83892203797041,-8.806926442938652,0.09689710390271035,-1.6256171393232273,-1.89637669491387
dream,27,-7.497190358565594,-7.5086928431521835,-7.540037179879951,0.09634633388969105,-1.4657886047708724,-1.735242706015558
dream,28,-7.730967235919683,-7.820748672805032,-7.791398086804859,0.09553748058868908,-1.2667592424168095,-1.5290268233905058
dream,29,-7.972999386670368,-8.431308663827613,-8.38543432330748,0.09554393294961781,-1.2132392701603594,-1.482909142176853
dream,30,-7.098771356838316,-7.059342799509888,-7.1034790744304805,0.09513285058959668,-1.1295666556807085,-1.404795276666697
dream,31,-4.920238379783718,-5.0484704644489105,-5.108014188761203,0.09649708728475392,-1.3911450197161306,-1.5580267350095836
dream,32,-4.8922917721348735,-4.62094025893615,-4.634369250894427,0.09420347680416155,-1.0130667605019987,-1.2208850919266603
dream,33,-4.00125185709321,-4.070627676672614,-4.0952820985392595,0.09257448623316805,-0.7157199678812048,-0.9672255636808487
dream,34,-0.9950474982387659,-1.4336787943150553,-1.5090068330595816,0.09693394509636312,-1.4468501747586135,-1.3558299158971427
dream,35,0.5915106964940785,1.0498137985349938,0.9867418297773086,0.09746022697407851,-1.6667351497148857,-1.6702257786721941
dream,36,3.4779211738298668,3.7483165636295728,3.6941623194500757,0.09807342785742044,-1.9566943787852282,-1.9742205112881441
dream,37,6.722528202538121,6.6256183819972145,6.578944981975389,0.0985022162714162,-2.2212765613756487,-2.260363611480559
dream,38,6.88817616980698,6.880867192261214,6.862621057349802,0.09710777964601267,-1.7454408621850326,-1.9646933485535674
dream,39,10.394929246390403,9.802350439550061,9.755478273684092,0.09857221570051297,-2.263401785695237,-2.276678089576553
dream,40,10.049772384582473,9.735582669995559,9.721697156738236,0.09703223830627002,-1.7328389496258925,-1.916951282176664
dream,41,9.980974767200086,10.017088591334415,9.988229737887297,0.09630713641263937,-1.4631869168474787,-1.7268932925874214
dream,42,10.883816657493545,10.724947916981964,10.681130828480358,0.09645529998128888,-1.446878194197396,-1.707782485300856
dream,43,10.4440369946703,10.481695578818,10.464889851342933,0.0949776873472129,-1.1690507265324517,-1.3822957971187695
dream,44,14.737776673296445,14.89459240893286,14.839211246257394,0.0988818543361228,-2.4259917181057373,-2.0171869072775874
dream,45,12.217490754871575,12.394878951616755,12.435815635732896,0.09759531462260802,-1.8252944062501946,-2.0587980166100355
dream,46,10.668394067657932,10.292852255508611,10.331050578005744,0.09748888965418093,-1.8005728496254296,-2.0532773807508877
dream,47,9.767985217336705,9.722991056812605,9.726495285926614,0.09617053404750311,-1.4789850465213707,-1.6090503675022045
dream,48,9.755063124597642,9.879251244701305,9.847619808379958,0.0950504787299257,-1.149658251756642,-1.4160668115711446
dream,49,8.121368184217257,8.06795326248357,8.122570413930127,0.09575718447129611,-1.2281761995845721,-1.4643821668478578
dream,50,0.5535183984478428,0.2886039977715619,0.3354194346410587,0.09936972996007226,-2.970635276407863,-2.3028390739965614
dream,51,-2.7366582619582296,-2.326307279989845,-2.2877980195279726,0.09854404896697189,-2.295121900207665,-2.455334603346762
dream,52,-5.050599351410701,-5.834159989305554,-5.7974050259794785,0.09899597228591993,-2.6378150178852016,-2.7100118376726368
dream,53,-3.388511478138307,-2.8339738852328424,-2.8642226921444767,0.09886859480062624,-2.5818714731031744,-2.78945989815817
dream,54,-4.263951008019201,-3.459844265472507,-3.4467186324432144,0.09822346345954638,-2.2590740463261545,-2.4463556564178437
dream,55,-3.5429514775437063,-3.471213453903101,-3.465973157287715,0.09733766368652726,-1.866813228389381,-1.9630999768854822
dream,56,2.82895662365427,2.235109920926111,2.191478873600455,0.09921069556972886,-2.7984231039865364,-2.5213090209211684
dream,57,6.7519444828669135,6.83548406538351,6.800004435428157,0.09925362281884265,-2.906158205140921,-2.8769898177376496
dream,58,3.7245373841188703,3.623394544091562,3.651057604033291,0.09902478440236119,-2.7355158340139254,-2.946728668166669
dream,59,8.145182895308276,8.089220615547067,8.060412005254733,0.09937653361584114,-3.1214202713760217,-3.199460397437426
dream,60,8.440843233860472,8.17211066309813,8.165667758284405,0.09874826816516834,-2.633974094430954,-2.714518817864725
dream,61,4.211096214013073,4.430590578597056,4.462280929276108,0.09904742064995374,-2.727396001776484,-2.87993346694708
dream,62,10.787042266124752,10.711199116012923,10.681877077079786,0.09954694232234014,-3.3925227299558705,-3.3033383483300875
