seed,length,acute_count,acute_widths,control_level,action_dependence,low_control_fraction,chronic_profile,scheduled_dose,available_formation_margin,available_formed,available_final_persistent_probability,available_max_step_change,available_realized_avoidance_mediator,available_avoidance_rate,available_realized_event_fraction,replay_formation_margin,replay_formed,replay_final_persistent_probability,replay_max_step_change,replay_realized_avoidance_mediator,replay_avoidance_rate,replay_realized_event_fraction
809301,120,0,,1,0.0,1.0,steady-low,0.08333333333333333,3.637304504051003,1,0.9172617559557075,0.06453762485482378,0.225,0.4583333333333333,0.06666666666666667,-2.021412756322278,0,0.5765664773226561,0.055155306879713706,0.0,0.0,0.08333333333333333
809302,90,0,,1,0.0,1.0,none,0.0,-7.85859572532622,0,0.29142990638660904,0.05547665471806834,0.0,0.0,0.0,-7.85859572532622,0,0.29142990638660904,0.05547665471806834,0.0,0.0,0.0
809303,60,0,,1,0.0,1.0,bursty-moderate,0.18333333333333332,-0.924721187548758,0,0.6368224893179045,0.04060944309323672,0.16666666666666666,0.4166666666666667,0.08333333333333333,-4.304524742332081,0,0.2633956632115456,0.050651436208818124,0.0,0.0,0.18333333333333332
809304,60,0,,1,0.0,1.0,steady-low,0.08333333333333333,0.5652713703077235,0,0.7114472051749875,0.0491369771804665,0.15,0.36666666666666664,0.06666666666666667,-2.4413873524183085,0,0.39491376992283994,0.054489986016751646,0.0,0.0,0.08333333333333333
809305,120,0,,1,0.0,1.0,none,0.0,-6.096053737938126,0,0.2924669025177282,0.05949058811109276,0.0,0.0,0.0,-6.096053737938126,0,0.2924669025177282,0.05949058811109276,0.0,0.0,0.0
809306,120,0,,1,0.0,1.0,bursty-moderate,0.18333333333333332,-7.944915659368369,0,0.40219514422963665,0.04945156498019254,0.06666666666666667,0.275,0.13333333333333333,-7.512959389167779,0,0.41388147951475057,0.05195834698561219,0.0,0.0,0.18333333333333332
809307,120,0,,1,0.0,1.0,steady-low,0.08333333333333333,-0.8954512530862098,0,0.5919995049468119,0.0613078569022788,0.08333333333333333,0.2916666666666667,0.058333333333333334,2.66054717391465,1,0.8666414764646644,0.05835744848596347,0.0,0.0,0.08333333333333333
809308,90,0,,1,0.0,1.0,bursty-moderate,0.17777777777777778,-5.090962661621717,0,0.3046458784310119,0.05788050385282606,0.07777777777777778,0.2111111111111111,0.14444444444444443,-0.3968966829642393,0,0.8214642388749871,0.05679775256205222,0.0,0.0,0.17777777777777778
809309,90,0,,2,0.25,0.75,none,0.0,-5.5396419780553545,0,0.28594139083782527,0.06139156729557205,0.0,0.0,0.0,-5.5396419780553545,0,0.28594139083782527,0.06139156729557205,0.0,0.0,0.0
809310,120,0,,2,0.25,0.75,bursty-moderate,0.18333333333333332,-7.232852434063205,0,0.32491709409465724,0.05769373085119783,0.016666666666666666,0.16666666666666666,0.14166666666666666,-5.100686188016114,0,0.6139542822029953,0.06530941824463377,0.0,0.0,0.18333333333333332
