seed,arm,contact_descent,root_change,p1_permission_episode,p2_permission_episode,conjunction_episode,root_revision_episode,both_permissions_before_root,p1_final_permission,p2_final_permission,p1_probe_strengthening,p2_probe_strengthening,p1_opposed_effect,p2_opposed_effect,escalation_coupled
710120,befriend_none,false,0.0,0,0,0,0,false,0.015533816716615594,0.015533816716615594,,,,,
710120,escalation_probe,,,,,,,,,,0.1779480820987831,0.2374128121093786,0.0,0.0,false
710121,befriend_both,false,0.0015842259195618157,21,21,21,0,false,0.8911590135702253,0.8911590135702253,,,,,
710121,befriend_one,false,0.0,14,0,0,0,false,0.930855899750636,0.015539451585743998,,,,,
710121,befriend_none,false,0.0,0,0,0,0,false,0.015539451585743998,0.015539451585743998,,,,,
710121,escalation_probe,,,,,,,,,,-0.0041133875160134226,0.10273678685804455,0.0,0.0,false
710122,befriend_both,false,0.02524759747722566,18,18,18,0,false,0.90664272047351,0.90664272047351,,,,,
710122,befriend_one,false,0.0,10,0,0,0,false,0.930861100941748,0.015542131234542225,,,,,
710122,befriend_none,false,0.0,0,0,0,0,false,0.015542131234542225,0.015542131234542225,,,,,
710122,escalation_probe,,,,,,,,,,0.043523809735693586,0.675759992201583,0.0,0.0,false
710123,befriend_both,false,5.023775241552217e-6,18,18,18,0,false,0.9048049980287896,0.9048049980287896,,,,,
710123,befriend_one,false,0.0,12,0,0,0,false,0.9308595627077354,0.01565912795362421,,,,,
710123,befriend_none,false,0.0,0,0,0,0,false,0.01565912795362421,0.01565912795362421,,,,,
710123,escalation_probe,,,,,,,,,,0.5696250952038822,0.020919665494724127,0.0,0.0,false
710124,befriend_both,false,0.007927615176492799,21,21,21,0,false,0.893645583796945,0.893645583796945,,,,,
710124,befriend_one,false,0.0,13,0,0,0,false,0.9308603719740648,0.015522597223101339,,,,,
710124,befriend_none,false,0.0,0,0,0,0,false,0.015522597223101339,0.015522597223101339,,,,,
710124,escalation_probe,,,,,,,,,,0.8360029421179194,0.023574529214648532,0.0,0.0,false
710125,befriend_both,false,0.026091621030004605,16,16,16,0,false,0.9250770724454334,0.9250770724454334,,,,,
710125,befriend_one,false,0.0,8,0,0,0,false,0.930859930429563,0.015678319478600978,,,,,
710125,befriend_none,false,0.0,0,0,0,0,false,0.015678319478600978,0.015678319478600978,,,,,
710125,escalation_probe,,,,,,,,,,-0.012428833982462306,0.0431603463848691,0.0,0.0,false
710126,befriend_both,false,0.0,0,0,0,0,false,0.3008161903345219,0.3008161903345219,,,,,
710126,befriend_one,false,0.0,20,0,0,0,false,0.9251593007419804,0.015572792596840778,,,,,
710126,befriend_none,false,0.0,0,0,0,0,false,0.015572792596840778,0.015572792596840778,,,,,
710126,escalation_probe,,,,,,,,,,0.6572936536710681,0.16039652982539776,0.0,0.0,false
710127,befriend_both,false,0.00031055647577904623,16,16,16,0,false,0.9274624270005819,0.9274624270005819,,,,,
710127,befriend_one,false,0.0,9,0,0,0,false,0.930861547599882,0.015562000452805976,,,,,
710127,befriend_none,false,0.0,0,0,0,0,false,0.015562000452805976,0.015562000452805976,,,,,
710127,escalation_probe,,,,,,,,,,-0.10642275840604398,0.060250565144427726,0.0,0.0,false
710128,befriend_both,false,0.029388299158888725,20,20,20,0,false,0.766538016448125,0.766538016448125,,,,,
710128,befriend_one,false,0.0,13,0,0,0,false,0.9308048999425832,0.015540325956466783,,,,,
710128,befriend_none,false,0.0,0,0,0,0,false,0.015540325956466783,0.015540325956466783,,,,,
710128,escalation_probe,,,,,,,,,,0.2174900180320699,0.09167336307983276,0.0,0.0,false
710129,befriend_both,true,0.04077856086151066,24,24,24,1,false,0.7204502494397232,0.7204502494397232,,,,,
710129,befriend_one,false,0.0,16,0,0,1,false,0.9308190310057555,0.015541457098130743,,,,,
710129,befriend_none,false,0.0,0,0,0,1,false,0.015541457098130743,0.015541457098130743,,,,,
710129,escalation_probe,,,,,,,,,,0.001197798839115416,0.8162673205727125,0.0,0.0,false
710130,befriend_both,false,0.006024209128817508,22,22,22,0,false,0.831386181987637,0.831386181987637,,,,,
710130,befriend_one,false,0.0,11,0,0,0,false,0.9308565577411051,0.0155223795246238,,,,,
710130,befriend_none,false,0.0,0,0,0,0,false,0.0155223795246238,0.0155223795246238,,,,,
710130,escalation_probe,,,,,,,,,,0.6751806028926337,0.006470987048547316,0.0,0.0,false
710131,befriend_both,false,0.0,0,0,0,0,false,0.27940701934982776,0.27940701934982776,,,,,
710131,befriend_one,false,0.0,21,0,0,0,false,0.926540786846328,0.01557246583497326,,,,,
