seed,cell,triplet,variant,length,event_count,truth,formation_truth,selected,T_probability,D_probability,P_probability,winning_log_evidence,formation_selected,high_or_integrated,false_P_eligible,false_P,maximum_prior_difference,maximum_slice_log_bf,maximum_posterior_step,brier_P
813141,matched_permutation,0,acute_cluster,40,18,T,0,T,0.6298778094889591,0.3701221876468353,2.86420557293703e-09,0.5316926593766809,0,1,1,0,0.24999999713579443,2.670557431416735,0.22677778639404433,8.20367356404354e-18
813142,matched_permutation,0,evenly_spread,80,18,T,0,T,0.6298778094889592,0.37012218764683524,2.8642055729370287e-09,0.5316926593767164,0,1,1,0,0.24999999713579443,2.670557431416735,0.22677778639404433,8.203673564043533e-18
813143,matched_permutation,0,irregular_bursts,120,18,T,0,T,0.629877809488959,0.3701221876468354,2.86420557293703e-09,0.531692659376688,0,1,1,0,0.24999999713579443,2.670557431416735,0.22677778639404433,8.20367356404354e-18
813144,matched_permutation,1,acute_cluster,40,18,D,0,D,0.002101761816487022,0.9978980117158256,2.2646768741454495e-07,6.162875125189039,0,1,1,0,0.7490919735423613,2.3196827878973805,0.43186814752688996,5.128761344289204e-14
813145,matched_permutation,1,evenly_spread,80,18,D,0,D,0.0021017618164870214,0.9978980117158256,2.2646768741454495e-07,6.162875125189103,0,1,1,0,0.7490919735423613,2.3196827878973805,0.43186814752688996,5.128761344289204e-14
813146,matched_permutation,1,irregular_bursts,120,18,D,0,D,0.0021017618164870214,0.9978980117158256,2.2646768741454495e-07,6.162875125189089,0,1,1,0,0.7490919735423613,2.3196827878973805,0.43186814752688996,5.128761344289204e-14
813147,matched_permutation,2,acute_cluster,40,18,P,1,P,0.0016218235851395465,0.0004214303030823539,0.9979567461117781,6.4221587488106024,1,1,0,0,0.7494201023750012,2.3196827878973805,0.5044486293022921,4.174886451733944e-06
813148,matched_permutation,2,evenly_spread,80,18,P,1,P,0.0016218235851395459,0.000421430303082354,0.9979567461117781,6.422158748810631,1,1,0,0,0.7494201023750012,2.3196827878973805,0.5044486293022921,4.174886451733944e-06
813149,matched_permutation,2,irregular_bursts,120,18,P,1,P,0.0016218235851395465,0.0004214303030823539,0.9979567461117781,6.422158748810546,1,1,0,0,0.7494201023750012,2.3196827878973805,0.5044486293022921,4.174886451733944e-06
813150,matched_permutation,3,acute_cluster,40,18,T,0,T,0.5016872962281536,0.49830273894526156,9.964826584892341e-06,0.006769207867712623,0,1,1,0,0.28602763860863234,2.670557431416735,0.22677778639404433,9.929776886697716e-11
813151,matched_permutation,3,evenly_spread,80,18,T,0,T,0.5016872962281536,0.49830273894526156,9.964826584892335e-06,0.006769207867719729,0,1,1,0,0.28602763860863234,2.670557431416735,0.22677778639404433,9.929776886697702e-11
813152,matched_permutation,3,irregular_bursts,120,18,T,0,T,0.5016872962281536,0.49830273894526156,9.964826584892328e-06,0.0067692078677339396,0,1,1,0,0.28602763860863234,2.670557431416735,0.22677778639404433,9.929776886697689e-11
813153,matched_permutation,4,acute_cluster,40,18,D,0,D,0.04603212974957768,0.9539662784269733,1.5918234489976382e-06,3.031288697775338,0,1,1,0,0.721747774343235,2.3196827878973805,0.29081404047888293,2.5339018927787365e-12
813154,matched_permutation,4,evenly_spread,80,18,D,0,D,0.046032129749577703,0.9539662784269733,1.5918234489976395e-06,3.031288697775338,0,1,1,0,0.721747774343235,2.3196827878973805,0.29081404047888293,2.5339018927787405e-12
813155,matched_permutation,4,irregular_bursts,120,18,D,0,D,0.04603212974957769,0.9539662784269733,1.591823448997638e-06,3.0312886977752953,0,1,1,0,0.721747774343235,2.3196827878973805,0.29081404047888293,2.533901892778736e-12
813156,matched_permutation,5,acute_cluster,40,18,P,1,P,3.2277394085669e-08,1.74580190119681e-08,0.9999999502645869,17.248898675516955,1,1,0,0,0.7499999502645869,2.3196827878973805,0.5044486293022921,2.4736113183418666e-15
813157,matched_permutation,5,evenly_spread,80,18,P,1,P,3.2277394085669e-08,1.74580190119681e-08,0.9999999502645869,17.248898675516884,1,1,0,0,0.7499999502645869,2.3196827878973805,0.5044486293022921,2.4736113183418666e-15
813158,matched_permutation,5,irregular_bursts,120,18,P,1,P,3.2277394085669e-08,1.7458019011968095e-08,0.9999999502645869,17.24889867551684,1,1,0,0,0.7499999502645869,2.3196827878973805,0.5044486293022921,2.4736113183418666e-15
813159,matched_permutation,6,acute_cluster,40,18,T,0,T,0.8473036220733239,0.15269637762197708,3.0469906095933144e-10,1.7136076082811513,0,1,1,0,0.4363641383436364,2.670557431416735,0.22677778639404433,9.284151774949838e-20
813160,matched_permutation,6,evenly_spread,80,18,T,0,T,0.847303622073324,0.152696377621977,3.046990609593313e-10,1.7136076082811513,0,1,1,0,0.4363641383436364,2.670557431416735,0.22677778639404433,9.284151774949828e-20
813161,matched_permutation,6,irregular_bursts,120,18,T,0,T,0.8473036220733239,0.15269637762197708,3.046990609593315e-10,1.713607608281194,0,1,1,0,0.4363641383436364,2.670557431416735,0.22677778639404433,9.284151774949842e-20
813162,matched_permutation,7,acute_cluster,40,18,D,0,D,0.15872912251521842,0.8412700483867073,8.290980743433797e-07,1.6677135949289834,0,1,1,0,0.5912700483867073,2.670557431416735,0.3540068738226399,6.874036168799003e-13
813163,matched_permutation,7,evenly_spread,80,18,D,0,D,0.15872912251521837,0.8412700483867072,8.290980743433796e-07,1.6677135949290403,0,1,1,0,0.5912700483867074,2.670557431416735,0.3540068738226399,6.874036168799002e-13
813164,matched_permutation,7,irregular_bursts,120,18,D,0,D,0.15872912251521837,0.8412700483867072,8.290980743433796e-07,1.6677135949289834,0,1,1,0,0.5912700483867074,2.670557431416735,0.3540068738226399,6.874036168799002e-13
813165,matched_permutation,8,acute_cluster,40,18,P,1,P,6.217539441820757e-09,2.2043395334780449e-10,0.9999999935620266,18.895891590154733,1,1,0,0,0.7499999935620266,2.3196827878973805,0.4202333134435244,4.1447501198162256e-17
813166,matched_permutation,8,evenly_spread,80,18,P,1,P,6.217539441820759e-09,2.2043395334780456e-10,0.9999999935620266,18.895891590154733,1,1,0,0,0.7499999935620266,2.3196827878973805,0.4202333134435244,4.1447501198162256e-17
813167,matched_permutation,8,irregular_bursts,120,18,P,1,P,6.217539441820757e-09,2.2043395334780449e-10,0.9999999935620266,18.89589159015469,1,1,0,0,0.7499999935620266,2.3196827878973805,0.4202333134435244,4.1447501198162256e-17
813168,matched_permutation,9,acute_cluster,40,18,T,0,T,0.6209325344434535,0.3790448412735867,2.2624282959775018e-05,0.49356792305421493,0,1,1,0,0.33508971354844364,2.670557431416735,0.24920032113082025,5.118581794439663e-10
813169,matched_permutation,9,evenly_spread,80,18,T,0,T,0.6209325344434536,0.37904484127358656,2.2624282959775015e-05,0.49356792305421493,0,1,1,0,0.33508971354844375,2.670557431416735,0.24920032113082025,5.118581794439661e-10
813170,matched_permutation,9,irregular_bursts,120,18,T,0,T,0.6209325344434536,0.3790448412735867,2.262428295977502e-05,0.4935679230542007,0,1,1,0,0.33508971354844375,2.670557431416735,0.24920032113082025,5.118581794439664e-10
813171,matched_permutation,10,acute_cluster,40,18,D,0,D,0.04288935212982218,0.9566353005804529,0.00047534728972498477,3.1047986396736746,0,1,1,0,0.7458542991251017,2.3196827878973805,0.43186814752688996,2.259550458488886e-07
813172,matched_permutation,10,evenly_spread,80,18,D,0,D,0.04288935212982217,0.9566353005804529,0.00047534728972498493,3.104798639673703,0,1,1,0,0.7458542991251017,2.3196827878973805,0.43186814752688996,2.2595504584888876e-07
813173,matched_permutation,10,irregular_bursts,120,18,D,0,D,0.04288935212982218,0.9566353005804529,0.00047534728972498493,3.104798639673703,0,1,1,0,0.7458542991251017,2.3196827878973805,0.43186814752688996,2.2595504584888876e-07
813174,matched_permutation,11,acute_cluster,40,18,P,1,P,2.4133460116608926e-07,7.937169171643257e-09,0.9999997507282297,15.23708123052019,1,1,0,0,0.7499997507282297,2.3196827878973805,0.4202333134435244,6.213641548653281e-14
813175,matched_permutation,11,evenly_spread,80,18,P,1,P,2.4133460116608947e-07,7.937169171643259e-09,0.9999997507282297,15.237081230520204,1,1,0,0,0.7499997507282297,2.3196827878973805,0.4202333134435244,6.213641548653281e-14
813176,matched_permutation,11,irregular_bursts,120,18,P,1,P,2.4133460116608947e-07,7.937169171643259e-09,0.9999997507282297,15.237081230520147,1,1,0,0,0.7499997507282297,2.3196827878973805,0.4202333134435244,6.213641548653281e-14
813177,matched_permutation,12,acute_cluster,40,18,T,0,T,0.9545818240594912,0.04425051178872153,0.0011676641517872157,3.071406426783213,0,1,1,0,0.4545818240594912,2.670557431416735,0.22677778639404433,1.363439571368958e-06
813178,matched_permutation,12,evenly_spread,80,18,T,0,T,0.9545818240594912,0.044250511788721525,0.001167664151787215,3.0714064267831986,0,1,1,0,0.4545818240594912,2.670557431416735,0.22677778639404433,1.3634395713689563e-06
813179,matched_permutation,12,irregular_bursts,120,18,T,0,T,0.9545818240594912,0.04425051178872152,0.0011676641517872142,3.07140642678317,0,1,1,0,0.4545818240594912,2.670557431416735,0.22677778639404433,1.3634395713689544e-06
813180,matched_permutation,13,acute_cluster,40,18,D,0,T,0.83581075018072,0.16418920267378928,4.7145490704247525e-08,1.6273827743830651,0,1,1,0,0.4603057475163653,2.670557431416735,0.3608809885956769,2.2226972937442897e-15
813181,matched_permutation,13,evenly_spread,80,18,D,0,T,0.83581075018072,0.16418920267378928,4.7145490704247525e-08,1.627382774383051,0,1,1,0,0.4603057475163653,2.670557431416735,0.360880988595677,2.2226972937442897e-15
813182,matched_permutation,13,irregular_bursts,120,18,D,0,T,0.83581075018072,0.16418920267378928,4.7145490704247525e-08,1.627382774383051,0,1,1,0,0.4603057475163653,2.670557431416735,0.3608809885956769,2.2226972937442897e-15
813183,matched_permutation,14,acute_cluster,40,18,P,1,P,8.096551277988149e-08,5.255309609342321e-09,0.9999999137791776,16.329242454867803,1,1,0,0,0.7499999137791776,2.3196827878973805,0.5035062700871445,7.43403021026976e-15
813184,matched_permutation,14,evenly_spread,80,18,P,1,P,8.096551277988149e-08,5.255309609342324e-09,0.9999999137791776,16.329242454867753,1,1,0,0,0.7499999137791776,2.3196827878973805,0.5035062700871445,7.43403021026976e-15
813185,matched_permutation,14,irregular_bursts,120,18,P,1,P,8.096551277988149e-08,5.255309609342325e-09,0.9999999137791776,16.32924245486771,1,1,0,0,0.7499999137791776,2.3196827878973805,0.5035062700871445,7.43403021026976e-15
813186,matched_permutation,15,acute_cluster,40,18,T,0,D,0.37269489739556694,0.6273051019521636,6.522695149742438e-10,0.5206729127875462,0,1,1,0,0.3773051019521636,2.670557431416735,0.22677778639404433,4.2545552016473533e-19
813187,matched_permutation,15,evenly_spread,80,18,T,0,D,0.37269489739556705,0.6273051019521635,6.522695149742439e-10,0.5206729127875462,0,1,1,0,0.3773051019521635,2.670557431416735,0.22677778639404433,4.254555201647354e-19
813188,matched_permutation,15,irregular_bursts,120,18,T,0,D,0.37269489739556705,0.6273051019521635,6.522695149742435e-10,0.5206729127875747,0,1,1,0,0.3773051019521635,2.670557431416735,0.22677778639404433,4.254555201647349e-19
813189,matched_permutation,16,acute_cluster,40,18,D,0,D,0.41446296793073656,0.5855274504388698,9.581630393644244e-06,0.34552943665238445,0,1,1,0,0.44292186652224674,2.670557431416735,0.3719140879294266,9.180764100040716e-11
813190,matched_permutation,16,evenly_spread,80,18,D,0,D,0.41446296793073667,0.5855274504388697,9.581630393644246e-06,0.3455294366524271,0,1,1,0,0.44292186652224685,2.670557431416735,0.3719140879294266,9.180764100040719e-11
813191,matched_permutation,16,irregular_bursts,120,18,D,0,D,0.41446296793073656,0.5855274504388699,9.581630393644243e-06,0.34552943665241287,0,1,1,0,0.44292186652224685,2.670557431416735,0.3719140879294266,9.180764100040712e-11
813192,matched_permutation,17,acute_cluster,40,18,P,1,P,2.4190422458998417e-09,1.1272935289517648e-09,0.9999999964536643,19.839894137724713,1,1,0,0,0.7499999964536643,2.3196827878973805,0.5044486293022921,1.2576496681254814e-17
813193,matched_permutation,17,evenly_spread,80,18,P,1,P,2.4190422458998417e-09,1.1272935289517648e-09,0.9999999964536643,19.8398941377247,1,1,0,0,0.7499999964536643,2.3196827878973805,0.5044486293022921,1.2576496681254814e-17
813194,matched_permutation,17,irregular_bursts,120,18,P,1,P,2.4190422458998417e-09,1.1272935289517648e-09,0.9999999964536643,19.839894137724684,1,1,0,0,0.7499999964536643,2.3196827878973805,0.5044486293022921,1.2576496681254814e-17
813195,matched_permutation,18,acute_cluster,40,18,T,0,D,0.3625196321123447,0.6374792926443379,1.075243317462548e-06,0.5644431639989449,0,1,1,0,0.3874792926443379,2.670557431416735,0.151972377389854,1.1561481917478657e-12
813196,matched_permutation,18,evenly_spread,80,18,T,0,D,0.36251963211234484,0.6374792926443378,1.0752433174625484e-06,0.5644431639989307,0,1,1,0,0.3874792926443378,2.670557431416735,0.151972377389854,1.1561481917478665e-12
813197,matched_permutation,18,irregular_bursts,120,18,T,0,D,0.36251963211234484,0.6374792926443378,1.0752433174625488e-06,0.5644431639989875,0,1,1,0,0.3874792926443378,2.670557431416735,0.151972377389854,1.1561481917478675e-12
813198,matched_permutation,19,acute_cluster,40,18,D,0,D,0.00014824201615976565,0.9998510246476763,7.333361639572578e-07,8.816515388983397,0,1,1,0,0.7498510246476764,2.2199785861241947,0.2476761349016825,5.377819293675461e-13
813199,matched_permutation,19,evenly_spread,80,18,D,0,D,0.00014824201615976578,0.9998510246476763,7.333361639572582e-07,8.816515388983433,0,1,1,0,0.7498510246476764,2.2199785861241947,0.2476761349016825,5.377819293675467e-13
