seed,lambda_A_high_pre,lambda_A_high_post,lambda_B_high_pre,lambda_B_high_post,crossed,depth,integrated_classification,post_accuracy_broadcast_on,post_accuracy_broadcast_off,paired_accuracy_effect,on_A_local_brier,on_B_local_brier,on_C_local_brier,off_A_local_brier,off_B_local_brier,off_C_local_brier
801392,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.8183333333333334,1,0.01677975163109689,0,1.0,0.5,0.5,0.0002500000000000003,0.08189166666666665,0.08204166666666665,0.0002500000000000003,0.08189166666666665,0.08204166666666665
801393,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.007010221101883217,0,1.0,0.3333333333333333,0.6666666666666667,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008
801394,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.8183333333333334,1,0.0005831461606200044,0,1.0,0.8333333333333334,0.16666666666666663,0.0002500000000000003,0.08189166666666665,0.08204166666666667,0.0002500000000000003,0.08189166666666665,0.08204166666666667
801395,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.0013440312122452185,0,1.0,0.5,0.5,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008
801396,0.8183333333333334,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.0013721706151223992,0,1.0,0.5,0.5,0.08189166666666665,0.0002500000000000003,0.0004000000000000008,0.08189166666666665,0.0002500000000000003,0.0004000000000000008
801397,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.022107804989756934,0,1.0,0.16666666666666666,0.8333333333333334,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008
801398,0.8183333333333334,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.07037069730190401,0,0.8333333333333334,0.16666666666666666,0.6666666666666667,0.08189166666666665,0.0002500000000000003,0.0004000000000000008,0.08189166666666665,0.0002500000000000003,0.0004000000000000008
801399,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.03284064094716806,0,1.0,0.6666666666666666,0.33333333333333337,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008
801400,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.00457679500149494,0,1.0,0.5,0.5,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008
801401,0.8183333333333334,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.05255238843330573,0,0.8333333333333334,0.5,0.33333333333333337,0.08189166666666665,0.0002500000000000003,0.08204166666666667,0.08189166666666665,0.0002500000000000003,0.08204166666666667
801402,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.0017488178501088771,0,1.0,0.5,0.5,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008
801403,0.9800000000000001,0.009999999999999997,0.17166666666666666,0.9800000000000001,1,0.08191024545523118,0,1.0,0.3333333333333333,0.6666666666666667,0.0002500000000000003,0.08027499999999997,0.08204166666666665,0.0002500000000000003,0.08027499999999997,0.08204166666666665
801404,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.8183333333333334,1,0.0017880124016733936,0,1.0,0.5,0.5,0.0002500000000000003,0.08189166666666664,0.0004000000000000008,0.0002500000000000003,0.08189166666666664,0.0004000000000000008
801405,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.8183333333333334,1,0.02170987827033757,0,1.0,0.3333333333333333,0.6666666666666667,0.0002500000000000003,0.08189166666666664,0.0004000000000000008,0.0002500000000000003,0.08189166666666664,0.0004000000000000008
801406,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.03358248215833124,0,1.0,0.5,0.5,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008
801407,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.00047403803282233575,0,1.0,0.8333333333333334,0.16666666666666663,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008
801408,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.10053122823334167,0,0.8333333333333334,0.0,0.8333333333333334,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008
801409,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.007300976961626561,0,1.0,0.5,0.5,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008
801410,0.9800000000000001,0.009999999999999997,0.17166666666666666,0.9800000000000001,1,0.03163994588117449,0,1.0,0.6666666666666666,0.33333333333333337,0.0002500000000000003,0.08027499999999997,0.0004000000000000008,0.0002500000000000003,0.08027499999999997,0.0004000000000000008
801411,0.9800000000000001,0.17166666666666666,0.009999999999999997,0.9800000000000001,1,0.04529149717641449,0,1.0,0.5,0.5,0.080275,0.0002500000000000003,0.0004000000000000008,0.080275,0.0002500000000000003,0.0004000000000000008
801412,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.0321545723655287,0,1.0,0.6666666666666666,0.33333333333333337,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008
801413,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.007774963629659198,0,1.0,0.3333333333333333,0.6666666666666667,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008
801414,0.9800000000000001,0.009999999999999997,0.17166666666666666,0.9800000000000001,1,0.0012609912636318424,0,1.0,1.0,0.0,0.0002500000000000003,0.08027499999999997,0.0004000000000000008,0.0002500000000000003,0.08027499999999997,0.0004000000000000008
801415,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.006010449157039191,0,1.0,0.16666666666666666,0.8333333333333334,0.0002500000000000003,0.0002500000000000003,0.08204166666666665,0.0002500000000000003,0.0002500000000000003,0.08204166666666665
801416,0.8183333333333334,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.13405463311187252,0,0.6666666666666666,0.6666666666666666,0.0,0.08189166666666665,0.0002500000000000003,0.0004000000000000008,0.08189166666666665,0.0002500000000000003,0.0004000000000000008
801417,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.8183333333333334,1,0.00298990862339191,0,1.0,0.8333333333333334,0.16666666666666663,0.0002500000000000003,0.08189166666666664,0.0004000000000000008,0.0002500000000000003,0.08189166666666664,0.0004000000000000008
801418,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.004043641015523941,0,1.0,0.6666666666666666,0.33333333333333337,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008
801419,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.005042965498887278,0,1.0,0.5,0.5,0.0002500000000000003,0.0002500000000000003,0.08204166666666665,0.0002500000000000003,0.0002500000000000003,0.08204166666666665
801420,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.08539881193717619,0,0.8333333333333334,0.16666666666666666,0.6666666666666667,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008
801421,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.033934646112830216,0,1.0,0.16666666666666666,0.8333333333333334,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008
801422,0.9800000000000001,0.17166666666666666,0.009999999999999997,0.9800000000000001,1,0.08397103514351417,0,0.8333333333333334,0.5,0.33333333333333337,0.080275,0.0002500000000000003,0.0004000000000000008,0.080275,0.0002500000000000003,0.0004000000000000008
801423,0.8183333333333334,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.00360874782492721,0,1.0,0.5,0.5,0.08189166666666665,0.0002500000000000003,0.08204166666666665,0.08189166666666665,0.0002500000000000003,0.08204166666666665
801424,0.9800000000000001,0.009999999999999997,0.17166666666666666,0.9800000000000001,1,0.010716304440280324,0,1.0,0.16666666666666666,0.8333333333333334,0.0002500000000000003,0.08027499999999997,0.0004000000000000008,0.0002500000000000003,0.08027499999999997,0.0004000000000000008
801425,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.0065462214710698295,0,1.0,0.5,0.5,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008
801426,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.8183333333333334,1,0.08428303530221977,0,1.0,0.8333333333333334,0.16666666666666663,0.0002500000000000003,0.08189166666666664,0.08204166666666665,0.0002500000000000003,0.08189166666666664,0.08204166666666665
801427,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.009801545886890799,0,1.0,1.0,0.0,0.0002500000000000003,0.0002500000000000003,0.08204166666666665,0.0002500000000000003,0.0002500000000000003,0.08204166666666665
801428,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.8183333333333334,1,0.0008778776521973461,0,1.0,0.16666666666666666,0.8333333333333334,0.0002500000000000003,0.08189166666666665,0.0004000000000000008,0.0002500000000000003,0.08189166666666665,0.0004000000000000008
801429,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.07681724496299243,0,0.8333333333333334,0.3333333333333333,0.5,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008
801430,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.015001482942050113,0,1.0,0.5,0.5,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008
801431,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.0015861543666451947,0,1.0,0.5,0.5,0.0002500000000000003,0.0002500000000000003,0.08204166666666667,0.0002500000000000003,0.0002500000000000003,0.08204166666666667
801432,0.8183333333333334,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.009584997837931927,0,1.0,0.6666666666666666,0.33333333333333337,0.08189166666666665,0.0002500000000000003,0.0004000000000000008,0.08189166666666665,0.0002500000000000003,0.0004000000000000008
801433,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.8183333333333334,1,0.0018636651676919276,0,1.0,0.5,0.5,0.0002500000000000003,0.08189166666666665,0.0004000000000000008,0.0002500000000000003,0.08189166666666665,0.0004000000000000008
801434,0.6566666666666666,0.009999999999999997,0.009999999999999997,0.8183333333333334,1,0.006289554183521212,0,1.0,0.5,0.5,0.1635333333333333,0.08189166666666665,0.0004000000000000008,0.1635333333333333,0.08189166666666665,0.0004000000000000008
801435,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.08504302755306666,0,1.0,0.16666666666666666,0.8333333333333334,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008
801436,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.004405136148889775,0,1.0,0.6666666666666666,0.33333333333333337,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008
801437,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.8183333333333334,1,0.01745637378858846,0,1.0,0.16666666666666666,0.8333333333333334,0.0002500000000000003,0.08189166666666664,0.0004000000000000008,0.0002500000000000003,0.08189166666666664,0.0004000000000000008
801438,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.0005735723159937939,0,1.0,0.5,0.5,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008
801439,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.09805666435156485,0,1.0,0.5,0.5,0.0002500000000000003,0.0002500000000000003,0.08204166666666665,0.0002500000000000003,0.0002500000000000003,0.08204166666666665
801440,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.002254256940316305,0,1.0,0.6666666666666666,0.33333333333333337,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008
801441,0.9800000000000001,0.17166666666666666,0.009999999999999997,0.9800000000000001,1,0.026928116346841443,0,1.0,0.8333333333333334,0.16666666666666663,0.080275,0.0002500000000000003,0.0004000000000000008,0.080275,0.0002500000000000003,0.0004000000000000008
801442,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.00490898799084212,0,1.0,0.6666666666666666,0.33333333333333337,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008
801443,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.0022285169157025956,0,1.0,0.6666666666666666,0.33333333333333337,0.0002500000000000003,0.0002500000000000003,0.08204166666666665,0.0002500000000000003,0.0002500000000000003,0.08204166666666665
801444,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.061957381711453575,0,0.8333333333333334,0.16666666666666666,0.6666666666666667,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008
801445,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.053607660907889876,0,0.8333333333333334,0.5,0.33333333333333337,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008
801446,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.0031264656027868566,0,1.0,0.6666666666666666,0.33333333333333337,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008
801447,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.03045366018338717,0,1.0,0.5,0.5,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008
801448,0.8183333333333334,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.046749864244988254,0,1.0,0.5,0.5,0.08189166666666665,0.0002500000000000003,0.08204166666666667,0.08189166666666665,0.0002500000000000003,0.08204166666666667
801449,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.07402703249427024,0,1.0,0.5,0.5,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008
801450,0.9800000000000001,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.01129851665708823,0,1.0,0.6666666666666666,0.33333333333333337,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008,0.0002500000000000003,0.0002500000000000003,0.0004000000000000008
801451,0.8183333333333334,0.009999999999999997,0.009999999999999997,0.9800000000000001,1,0.01628065598528337,0,1.0,0.6666666666666666,0.33333333333333337,0.08189166666666665,0.0002500000000000003,0.0004000000000000008,0.08189166666666665,0.0002500000000000003,0.0004000000000000008
