bank_seed,maintenance_seed,stratum,q0_P,A_delta_L_PT,A_delta_L_PD,B_delta_L_PT,B_delta_L_PD,M_PT,M_PD,A_root_revision_abs,B_root_revision_abs,A_transfer_abs,B_transfer_abs,root_revision_difference,transfer_difference,B_delivered,B_censored,B_avoidance,dose_M_PT,dose_M_PD,external_danger_selected,identity_danger_selected,external_danger_delta_L_PD
760578,762019,moderate,0.7299399123975273,-35.44405938270472,-33.822128440490786,-21.33537463591546,-21.81642393784708,14.108684746789262,12.005704502643706,0.5767257570041049,0.5767257570041049,0.5070334193365127,0.5070334193365127,0.0,0.0,18,14,16,"[0.0, 6.157453664240329, 18.625195201213657, 27.937792801820486, 35.44405938270472]","[0.0, 4.980279004633921, 16.889249162016966, 25.333873743025446, 33.822128440490786]",D,P,-29.014446052384525
760600,762020,moderate,0.7343102217800038,-41.741793654023716,-42.83959620307264,-20.737194637921554,-20.742443341790523,21.004599016102162,22.097152861282115,0.7533499935369898,0.7533499935369259,0.5687150672048571,0.5687150672048088,6.394884621840902e-14,4.829470157119431e-14,16,16,18,"[0.0, 11.755372657128028, 22.963764244317403, 38.03966864771858, 41.741793654023716]","[0.0, 12.017089837347012, 24.001934892940465, 39.34300584494452, 42.83959620307264]",D,P,-34.43074098803185
760643,762021,moderate,0.6978610376776947,-40.71120275577912,-41.13966819663891,-21.83115677779885,-20.80693290529763,18.88004597798027,20.33273529134128,0.5000000000000001,0.4999999999999998,0.3789084181313601,0.3789084181313599,3.3306690738754696e-16,2.220446049250313e-16,18,14,19,"[0.0, 8.600228720761535, 21.06797025773486, 31.245770946679635, 40.71120275577912]","[0.0, 8.552744260972446, 20.461714418355488, 30.746631467515215, 41.13966819663891]",D,P,-36.13903709508505
760696,762022,moderate,0.7199241849963001,-37.88683443922592,-37.39459369682931,-29.833586788403036,-28.874094217610416,8.053247650822886,8.520499479218895,0.7533499935369898,0.7533499935369898,0.5687150672048571,0.5687150672048571,0.0,0.0,26,6,9,"[0.0, 10.890169568790075, 24.388502004007997, 32.339733086556926, 37.88683443922592]","[0.0, 10.176797369195764, 23.785695533012536, 30.81112103102232, 37.39459369682931]",D,P,-28.501938472273583
760760,762023,moderate,0.7242848580601005,-37.77264555737453,-38.57669397284983,-18.727211769487614,-18.38432314322607,19.045433787886918,20.192370829623762,0.5,0.49999999999999706,0.37745740498034064,0.3774574049803384,2.942091015256665e-15,2.220446049250313e-15,17,15,16,"[0.0, 9.630819619006132, 19.97400811785756, 27.8110503185551, 37.77264555737453]","[0.0, 10.252672267406172, 20.397224854848382, 28.60475062887869, 38.57669397284983]",D,P,-18.487206634219778
760768,762024,moderate,0.6069128444093572,-36.588839162800724,-34.33995617090399,-22.925118917676144,-20.87142246880473,13.66372024512458,13.468533702099258,0.7533499935369898,0.7533499935369898,0.5687150672048571,0.5687150672048571,0.0,0.0,20,12,13,"[0.0, 8.116618892455588, 18.841400651339015, 30.76216111837369, 36.588839162800724]","[0.0, 6.885061036292267, 17.202222867205545, 29.07894824283504, 34.33995617090399]",D,P,-20.016301776340125
760769,762025,moderate,0.6870858129925913,-34.909250626343514,-31.1127094015076,-25.762040835643337,-22.5277203587816,9.147209790700177,8.584989042726,0.6346851906933186,0.634685190677254,0.3077261530634268,0.30772615305563794,1.6064594099418628e-11,7.788880651560248e-12,24,8,11,"[0.0, 4.414493886150439, 14.973887835127215, 23.80287560742809, 34.909250626343514]","[0.0, 3.388470678164154, 13.84599697079495, 20.62293832712325, 31.1127094015076]",D,P,-22.56482735348884
760773,762026,moderate,0.7064444514650948,-38.00102332107731,-36.21249342080879,-26.182279422316597,-25.830842026388403,11.818743898760715,10.381651394420388,0.8529246308458938,0.8529240863290163,0.31325021302821177,0.31325001304567907,5.445168774764753e-07,1.9998253270037125e-07,21,11,14,"[0.0, 6.539046924272331, 16.004478733371812, 26.627243923981283, 38.00102332107731]","[0.0, 5.15288824810499, 15.545924977228683, 24.36801282693285, 36.21249342080879]",D,P,-29.179703178675187
760784,762027,moderate,0.7242848580601005,-34.146064106279525,-30.76749091456546,-19.388381721277653,-17.234467648959097,14.757682385001871,13.533023265606364,0.5,0.4999999999999996,0.37745740498034064,0.3774574049803403,3.885780586188048e-16,3.3306690738754696e-16,18,14,16,"[0.0, 8.765616530668183, 20.965953689460903, 26.029445213823944, 34.146064106279525]","[0.0, 8.412379799254929, 18.96664043714638, 23.882429878273193, 30.76749091456546]",D,P,-35.44453618744449
760888,762028,moderate,0.7242848580601003,-33.87865972809891,-29.412781395073868,-17.543405374913803,-14.147585341280225,16.335254353185107,15.265196053793643,0.5,0.49999999999999706,0.37745740498034064,0.3774574049803384,2.942091015256665e-15,2.220446049250313e-15,17,15,18,"[0.0, 10.241171930577469, 14.006668178515305, 23.319265779122134, 33.87865972809891]","[0.0, 8.6494786062331, 10.510630521434592, 18.955255102443072, 29.412781395073868]",D,P,-22.769192117873125
760953,762029,moderate,0.6934107736278707,-39.566422975683125,-40.621840466225706,-19.427027047918912,-20.36498007309483,20.139395927764213,20.256860393130875,0.6346851906933186,0.634684970053646,0.3077261530634268,0.3077260460866158,2.206396726434079e-07,1.0697681102067591e-07,15,17,19,"[0.0, 5.712489162575643, 18.116859457916274, 28.841641216799697, 39.566422975683125]","[0.0, 6.4431082040894765, 19.98751680439915, 30.304678635312428, 40.621840466225706]",D,P,-17.63587619850103
760995,762030,moderate,0.7354421319492586,-36.970432422832715,-34.512565414375054,-24.77009526404,-23.958304776483608,12.200337158792717,10.554260637891446,0.5476790569546243,0.5476790569546243,0.49139154848877,0.49139154848877,0.0,0.0,21,11,15,"[0.0, 11.208391587189379, 25.53328178410399, 28.688425720470484, 36.970432422832715]","[0.0, 11.984845055593453, 24.30352326342574, 27.767868839800304, 34.512565414375054]",D,P,-28.64482416170958
761000,762031,moderate,0.6564481890557478,-34.79506174449212,-32.29480967752812,-22.9763178457314,-21.91315828310774,11.818743898760722,10.38165139442038,0.7533499935369898,0.7533499935369898,0.5687150672048571,0.5687150672048571,0.0,0.0,21,11,14,"[0.0, 2.9389384862411454, 11.157573946970682, 28.358031388493746, 34.79506174449212]","[0.0, 3.1513718711859795, 11.531506888687353, 28.636995410632245, 32.29480967752812]",D,P,-27.00364236522038
761114,762032,moderate,0.7015772873701569,-37.88683443922592,-37.39459369682931,-30.317196616708987,-30.541777442290595,7.569637822516935,6.852816254538716,0.9134665530588149,0.9134665530588149,0.8030819921289769,0.8030819921289769,0.0,0.0,25,7,11,"[0.0, 15.241292213307819, 23.459927674037353, 27.709033750281144, 37.88683443922592]","[0.0, 15.200706490286539, 23.580841507787916, 27.109676647669584, 37.39459369682931]",D,P,-19.475847021351797
761176,762033,moderate,0.7242848580601005,-34.146064106279525,-30.76749091456546,-24.451873245640694,-22.150257090085912,9.69419086063883,8.617233824479548,0.5,0.5,0.37745740498034064,0.37745740498034064,0.0,0.0,23,9,13,"[0.0, 7.022656752578289, 16.067849975004513, 30.278551290067732, 34.146064106279525]","[0.0, 6.820571472785161, 13.910486534302049, 27.41126501815486, 30.76749091456546]",D,P,-14.952892530128798
761216,762034,moderate,0.6069128444093572,-34.90925062634352,-31.112709401507598,-23.255894537489443,-20.590693545369696,11.653356088854078,10.522015856137902,0.7533499935369898,0.7533499935369898,0.5687150672048571,0.5687150672048571,0.0,0.0,22,10,13,"[0.0, 8.05324765082289, 16.716847613217116, 25.215059765704694, 34.90925062634352]","[0.0, 8.520499479218895, 15.437805297264712, 22.49547557702805, 31.112709401507598]",D,P,-25.880543886864835
761304,762035,moderate,0.7340104068660231,-40.32960949574712,-40.96705895316784,-30.635418635108294,-32.34982512868829,9.694190860638827,8.617233824479555,0.5,0.5,0.37745740498034064,0.37745740498034064,0.0,0.0,23,9,12,"[0.0, 11.106375018915426, 18.231048339767664, 35.97848685122938, 40.32960949574712]","[0.0, 10.489771074384354, 18.805416528378625, 35.94314983207707, 40.96705895316784]",D,P,-25.712673357650726
761323,762036,moderate,0.6642951540038077,-36.856243540981325,-35.69466569039558,-22.810930035824754,-22.053522744825255,14.045313505156571,13.641142945570326,0.5476790569546243,0.5476790569546243,0.49139154848877,0.49139154848877,0.0,0.0,20,12,16,"[0.0, 8.867633098942136, 18.396436149674315, 21.233358067641507, 36.856243540981325]","[0.0, 9.907453780464035, 18.6650520666611, 20.321349956637974, 35.69466569039558]",D,P,-31.918590183972995
761338,762037,moderate,0.6174208811530594,-39.56642297568312,-40.6218404662257,-27.0986814387098,-28.712870308842657,12.467741536973318,11.908970157383042,0.49324497788410293,0.49324497788409977,0.32591998538654554,0.32591998538654343,3.164135620181696e-15,2.1094237467877974e-15,21,11,15,"[0.0, 11.437150638728717, 19.108805029519605, 28.192643578587088, 39.56642297568312]","[0.0, 10.209042150949312, 18.556932386697138, 28.77735987234976, 40.6218404662257]",D,P,-27.227645701455568
