seed,stratum,intact_M_PT,intact_M_PD,action_mask_M_PT,action_mask_M_PD,forced_open_M_PT,forced_open_M_PD,substitution_M_PT,substitution_M_PD,common_A_delta_L_PT,common_A_delta_L_PD,common_M_PT,common_M_PD,fixed_root_difference,fixed_transfer_difference,fixed_M_PT,fixed_M_PD,broadcast_M_PT,broadcast_M_PD,equalized_A_delta_L_PT,equalized_A_delta_L_PD,equalized_M_PT,equalized_M_PD
762015,moderate,11.653356088854071,10.522015856137902,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,11.653356088854071,10.522015856137902,10.260657384501656,9.585466961366375,2.220446049250313e-16,0.0,0.0,0.0
762016,moderate,13.11673917518593,13.436288920345703,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,13.11673917518593,13.436288920345703,10.141943342855832,10.026185927089806,-4.440892098500626e-16,0.0,0.0,0.0
762017,moderate,9.414614168880785,9.939698562217583,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,0.0,0.0,0.0,0.0,9.414614168880785,9.939698562217583,7.063746127505329,7.150545838679893,4.440892098500626e-16,8.881784197001252e-16,0.0,0.0
762018,moderate,10.826798327157377,11.812235812122388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,10.826798327157377,11.812235812122388,7.445339387537331,7.3231550821509614,0.0,-2.220446049250313e-16,0.0,0.0
762019,moderate,14.108684746789262,12.005704502643706,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,14.108684746789262,12.005704502643706,13.601733818238326,13.074435258970787,2.220446049250313e-16,0.0,0.0,0.0
762020,moderate,21.004599016102162,22.097152861282115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.004599016102162,22.097152861282115,15.27227203510666,14.818919407772992,0.0,0.0,0.0,0.0
762021,moderate,18.88004597798027,20.33273529134128,0.0,0.0,0.0,0.0,0.0,0.0,6.661338147750939e-16,4.440892098500626e-16,0.0,0.0,0.0,0.0,18.88004597798027,20.33273529134128,13.220140558206324,12.901826015499719,6.661338147750939e-16,4.440892098500626e-16,0.0,0.0
762022,moderate,8.053247650822886,8.520499479218895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,-2.220446049250313e-16,0.0,0.0,0.0,8.053247650822886,8.520499479218895,5.774801170668994,5.578670933348754,0.0,4.440892098500626e-16,-2.220446049250313e-16,0.0
762023,moderate,19.045433787886918,20.192370829623762,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,19.045433787886918,20.192370829623762,13.864613036624494,13.687763468165288,-4.440892098500626e-16,0.0,0.0,0.0
762024,moderate,13.66372024512458,13.468533702099258,0.0,0.0,0.0,0.0,0.0,0.0,-7.771561172376096e-16,-1.1102230246251565e-15,4.440892098500626e-16,1.1102230246251565e-15,0.0,0.0,13.66372024512458,13.468533702099258,11.168009081305993,10.984732623226446,-7.771561172376096e-16,-1.1102230246251565e-15,4.440892098500626e-16,1.1102230246251565e-15
762025,moderate,9.147209790700177,8.584989042726,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,-4.440892098500626e-16,0.0,0.0,0.0,0.0,9.147209790700177,8.584989042726,7.8269326475693255,7.49576432562203,2.220446049250313e-16,-4.440892098500626e-16,0.0,0.0
762026,moderate,11.818743898760715,10.381651394420388,0.0,0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,-2.220446049250313e-16,0.0,0.0,0.0,0.0,11.818743898760715,10.381651394420388,10.905129862919825,10.371404414031943,-2.220446049250313e-16,-2.220446049250313e-16,0.0,0.0
762027,moderate,14.757682385001871,13.533023265606364,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,14.757682385001871,13.533023265606364,13.220140558206328,12.901826015499719,-4.440892098500626e-16,0.0,0.0,0.0
762028,moderate,16.335254353185107,15.265196053793643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.335254353185107,15.265196053793643,14.246206296656492,13.860372711636355,0.0,0.0,0.0,0.0
762029,moderate,20.139395927764213,20.256860393130875,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,20.139395927764213,20.256860393130875,15.916744513524826,15.604856860438563,2.220446049250313e-16,0.0,0.0,0.0
762030,moderate,12.200337158792717,10.554260637891446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.200337158792717,10.554260637891446,11.286723122951823,10.544013657503012,0.0,0.0,0.0,0.0
762031,moderate,11.818743898760722,10.38165139442038,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,11.818743898760722,10.38165139442038,10.905129862919825,10.371404414031943,2.220446049250313e-16,0.0,0.0,0.0
762032,moderate,7.569637822516935,6.852816254538716,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,-2.220446049250313e-16,0.0,0.0,0.0,0.0,7.569637822516935,6.852816254538716,6.800866909119161,6.53721762948539,-4.440892098500626e-16,-2.220446049250313e-16,0.0,0.0
762033,moderate,9.69419086063883,8.617233824479548,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,9.69419086063883,8.617233824479548,8.852998386019493,8.45431102175867,2.220446049250313e-16,0.0,0.0,0.0
762034,moderate,11.653356088854078,10.522015856137902,0.0,0.0,0.0,0.0,0.0,0.0,-3.3306690738754696e-16,-2.220446049250313e-16,0.0,0.0,0.0,0.0,11.653356088854078,10.522015856137902,10.260657384501659,9.585466961366372,-3.3306690738754696e-16,-2.220446049250313e-16,0.0,0.0
762035,moderate,9.694190860638827,8.617233824479555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,9.694190860638827,8.617233824479555,8.852998386019493,8.45431102175867,0.0,-2.220446049250313e-16,0.0,0.0
762036,moderate,14.045313505156571,13.641142945570326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0,-2.220446049250313e-16,0.0,0.0,14.045313505156571,13.641142945570326,11.549602341337991,11.15734186669751,0.0,4.440892098500626e-16,0.0,-2.220446049250313e-16
762037,moderate,12.467741536973318,11.908970157383042,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,-2.220446049250313e-16,0.0,0.0,0.0,12.467741536973318,11.908970157383042,10.523536602887827,10.19879517056087,2.220446049250313e-16,0.0,-2.220446049250313e-16,0.0
762038,moderate,16.43727092145907,16.760270035002748,0.0,0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,-4.440892098500626e-16,0.0,0.0,0.0,0.0,16.43727092145907,16.760270035002748,12.838547298174326,12.72921677202865,-2.220446049250313e-16,-4.440892098500626e-16,0.0,0.0
762039,moderate,11.64118377527663,13.199190113367536,0.0,0.0,0.0,0.0,0.0,0.0,-5.551115123125783e-16,-4.440892098500626e-16,0.0,0.0,0.0,0.0,11.64118377527663,13.199190113367536,7.708218605923502,7.936483291345464,-5.551115123125783e-16,-4.440892098500626e-16,0.0,0.0
762040,strong,17.56987838797762,19.95527202264559,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,-4.440892098500626e-16,4.440892098500626e-16,2.220446049250313e-16,0.0,0.0,17.56987838797762,19.95527202264559,11.430888299692164,11.598060832420941,-4.440892098500626e-16,-4.440892098500626e-16,4.440892098500626e-16,2.220446049250313e-16
762041,strong,14.757682385001864,13.533023265606364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.757682385001864,13.533023265606364,13.220140558206328,12.901826015499715,0.0,0.0,0.0,0.0
762042,strong,17.56987838797762,19.955272022645588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.56987838797762,19.955272022645588,11.430888299692164,11.598060832420945,0.0,0.0,0.0,0.0
762043,strong,11.920760467034683,11.87672537562949,0.0,0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,0.0,0.0,11.920760467034683,11.87672537562949,9.497470864437659,9.240248474424238,-2.220446049250313e-16,0.0,2.220446049250313e-16,0.0
762044,strong,11.437150638728724,10.209042150949315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.437150638728724,10.209042150949315,10.523536602887827,10.19879517056087,0.0,0.0,0.0,0.0
