seed,seed_position,bank_seed,bank_state_sha256,stratum,q0_P,safe_reliability,action_cost,schedule,labels_permuted,base_censoring,context_shift,A_delta_L_PT,A_delta_L_PD,B_delta_L_PT,B_delta_L_PD,M_PT,M_PD,B_delivered,B_censored,B_avoidance,M_PT_per_withheld,M_PD_per_withheld,complete_delta_L_PT,complete_delta_L_PD,yoke_max_error,no_action_max_error,label_permutation_max_error,dose_M_PT,dose_M_PD,external_selected,identity_selected,generic_selected,generic_delta_L_PT,generic_delta_L_PD,root_revision_difference,transfer_difference,fixed_transfer_difference,fixed_M_PT,fixed_M_PD,withheld_BF_identity_PT,withheld_BF_identity_PD,availability_identity_error_PT,availability_identity_error_PD,direct_action_residual_PT,direct_action_residual_PD,policy_generated_censoring,maximum_slice_log_BF,maximum_update_identity_error,clone_ok,released_seed_authorization
816057,57,820243,9c5025cc44db9f732da1cbd5eac18197cc8ab9a93285d55aa332e3af6397fa65,strong,0.8346331022070278,high,default,front_loaded,True,0.65,True,-32.26869634008181,-28.934259967299667,-20.687761812449303,-18.259568288829325,11.580934527632508,10.674691678470342,22,10,16,1.1580934527632507,1.0674691678470343,0.0,0.0,0.0,0.0,0.0,"[0.0, 7.4676212542429745, 11.169746260548116, 16.996424304975154, 22.12675299722598, 24.82335695254448, 32.26869634008181]","[0.0, 5.357742273329606, 8.854332631457723, 14.115340559526674, 18.90807404020986, 21.611104885148706, 28.934259967299667]",D,P,T,-18.606522325691238,-19.191233632977415,0.0,0.0,0.0,11.580934527632508,10.674691678470342,11.580934527632508,10.674691678470339,0.0,3.552713678800501e-15,0.0,0.0,1,2.3196827878973805,4.440892098500626e-15,1,816001:816900
816058,58,820328,22ccf5d84f142181ccf7bbf4e8a5b6eeb032b595b0d515c55c42604313e9d1c2,strong,0.7776905670825988,degraded,default,front_loaded,True,0.65,False,-25.826174652949142,-22.069077210648782,-20.21570205864746,-17.12104298776842,5.610472594301683,4.948034222880363,26,6,10,0.9350787657169471,0.8246723704800605,0.0,0.0,0.0,0.0,0.0,"[0.0, 5.941248214114985, 8.231189062143528, 12.645682948293967, 15.647992676167807, 19.999115320685547, 25.826174652949142]","[0.0, 4.667305299445328, 6.291358407668646, 9.679829085832797, 11.195762514092152, 16.219671635182927, 22.069077210648782]",D,P,T,-14.12571508635818,-9.413697561253176,0.0,0.0,0.0,5.610472594301683,4.948034222880363,5.610472594301687,4.948034222880364,3.552713678800501e-15,8.881784197001252e-16,0.0,0.0,1,2.670557431416735,4.440892098500626e-15,1,816001:816900
816059,59,820330,40d01348814d58c070e7b0badeb47b94fed07eff5243157db0e8d8addd063e5b,strong,0.8357270792576749,high,elevated,front_loaded,False,0.65,False,-34.527657366311516,-30.94010015803653,-25.864057403917293,-24.02279433999071,8.663599962394223,6.9173058180458185,23,9,14,0.9626222180438025,0.7685895353384242,0.0,0.0,0.0,0.0,0.0,"[0.0, 12.620575745465974, 14.910516593494517, 17.912826321368357, 21.678322569306196, 25.380447575611335, 34.527657366311516]","[0.0, 13.857382305498255, 15.481435413721572, 16.997368841980922, 18.858520757182415, 22.35511111531053, 30.94010015803653]",D,P,T,-17.096342890989437,-15.104058857147294,0.0,0.0,0.0,8.663599962394223,6.9173058180458185,8.663599962394226,6.9173058180458185,3.552713678800501e-15,0.0,0.0,0.0,1,2.670557431416735,5.773159728050814e-15,1,816001:816900
816060,60,820346,8d7ba3b83aa581c781ba5837bec82b7b53ba647dfe4eeeb7c486ef5aed3ccade,strong,0.7612375029950547,degraded,elevated,front_loaded,False,0.65,False,-35.44405938270472,-33.82212844049078,-18.24360194118166,-16.716639918545894,17.200457441523064,17.105488521944885,18,14,21,1.2286041029659331,1.221820608710349,0.0,0.0,0.0,0.0,0.0,"[0.0, 8.765616530668183, 12.467741536973325, 18.29441958140036, 23.739504365795394, 26.67844285203654, 35.44405938270472]","[0.0, 8.412379799254929, 11.908970157383038, 17.16997808545199, 22.25837677004987, 25.40974864123585, 33.82212844049078]",D,P,T,-12.885271727415033,-12.710645926512077,0.0,0.0,0.0,17.200457441523064,17.105488521944885,17.200457441523064,17.10548852194489,0.0,3.552713678800501e-15,0.0,0.0,1,2.670557431416735,5.773159728050814e-15,1,816001:816900
816061,61,820360,3c26ca4d92aed57c1eb5f22341f173c9cd641496db93b7d0e3f590b73f8fcd36,strong,0.844805835878434,high,default,distributed,True,0.35,True,-33.566691616507015,-31.98889749322499,-28.198553553127976,-27.48920429659176,5.368138063379039,4.499693196633231,26,6,18,0.8946896772298398,0.7499488661055386,0.0,0.0,0.0,0.0,0.0,"[0.0, 7.250356570578287, 10.498466755629867, 16.804229468568423, 22.728398921474977, 24.94591820828196, 33.566691616507015]","[0.0, 5.815769740326932, 9.292426677316417, 15.479736519768455, 21.49443711874942, 23.27116604930518, 31.98889749322499]",T,P,T,-14.702565472680842,-12.638912363771425,0.0,0.0,0.0,5.368138063379039,4.499693196633231,5.368138063379041,4.499693196633229,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,1,2.670557431416735,2.6645352591003757e-15,1,816001:816900
816062,62,820421,4d3532395955a7754db2f6658fc3f3255fdc6f6dcf85f6813b445d8b2dc38571,strong,0.7676831548720404,degraded,default,distributed,True,0.35,False,-37.88683443922592,-37.39459369682931,-31.411158756586286,-30.6062670057977,6.475675682639636,6.78832669103161,27,5,13,1.2951351365279273,1.357665338206322,0.0,0.0,0.0,0.0,0.0,"[0.0, 9.796207428912783, 14.147330073430524, 21.004599016102162, 26.0680905404652, 29.388622286738343, 37.88683443922592]","[0.0, 10.112307805688658, 15.136216926779436, 22.097152861282115, 27.012942302408927, 30.336923417065975, 37.39459369682931]",D,P,T,-20.407414054563844,-16.86747178778251,0.0,0.0,0.0,6.475675682639636,6.78832669103161,6.475675682639637,6.78832669103161,8.881784197001252e-16,0.0,0.0,0.0,1,2.670557431416735,4.218847493575595e-15,1,816001:816900
816063,63,820448,17459ff06afa8f9826d10272e9d51fc1fb4d7336071f736b735385502af16acb,strong,0.7879590499235631,high,elevated,distributed,False,0.35,False,-39.94801623571512,-40.79444970969677,-32.92535948313684,-33.97387823691161,7.0226567525782855,6.820571472785161,26,6,16,1.170442792096381,1.1367619121308603,0.0,0.0,0.0,0.0,0.0,"[0.0, 10.177800688944782, 13.879925695249923, 18.94341721961296, 25.037499642220602, 28.739624648525744, 39.94801623571512]","[0.0, 10.28491704915973, 13.781507407287847, 18.69729684841466, 25.3130142959752, 28.809604654103314, 40.79444970969677]",D,P,T,-22.866224414198374,-22.003630580173557,4.792702818501304e-07,1.3041368218669191e-07,0.0,7.0226567525782855,6.820571472785161,7.022656752578284,6.820571472785162,1.7763568394002505e-15,8.881784197001252e-16,0.0,0.0,1,2.670557431416735,5.773159728050814e-15,1,816001:816900
816064,64,820456,7b29bb75bc6d4ba58f35e009da5b8cd9d02c632f22bedc1f14d647cf0e7394c1,strong,0.844805835878434,degraded,elevated,distributed,False,0.35,False,-29.413729489566336,-26.15937019740052,-22.77266599702005,-19.511407968086427,6.641063492546287,6.647962229314093,26,6,17,1.1068439154243812,1.107993704885682,0.0,0.0,0.0,0.0,0.0,"[0.0, 7.08602799421098, 9.375968842239523, 14.439460366602564, 18.472360992721008, 21.41129947896215, 29.413729489566336]","[0.0, 5.185133029858537, 6.809186138081852, 11.72497557920867, 14.940837013901751, 18.09220888508773, 26.15937019740052]",D,P,T,-9.744501394468632,-6.503543144248226,0.0,0.0,0.0,6.641063492546287,6.647962229314093,6.641063492546287,6.647962229314093,0.0,0.0,0.0,0.0,1,2.3196827878973805,5.773159728050814e-15,1,816001:816900
816065,65,820461,41820a76af07b580763f2e8ba1521e6f2724b9355cbd1dd5c9274e2091941b12,strong,0.8080777075324813,high,default,front_loaded,True,0.35,True,-35.74206229484761,-34.20665323007192,-26.76024031405408,-25.48129972562841,8.981821980793526,8.725353504443511,25,7,20,1.2831174258276465,1.2464790720633587,0.0,0.0,0.0,0.0,0.0,"[0.0, 10.559393948976773, 14.261518955281915, 20.088196999708952, 25.21852569195978, 28.296722907310276, 35.74206229484761]","[0.0, 10.457526292630792, 13.954116650758909, 19.21512457882786, 24.007858059511047, 26.88349814792096, 34.20665323007192]",D,P,T,-8.11391049622403,-4.383615137814498,0.0,0.0,0.0,8.981821980793526,8.725353504443511,8.981821980793528,8.725353504443513,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,1,2.670557431416735,4.884981308350689e-15,1,816001:816900
816066,66,820472,d144ef49f087f165aff3601cced6fc6947bac70d9ac76a98b88db454b59c462a,strong,0.8850784038231684,degraded,default,front_loaded,True,0.35,False,-31.36072240420414,-30.741326486288504,-27.3278217780857,-27.52546505159542,4.03290062611844,3.2158614346930854,27,5,14,0.806580125223688,0.643172286938617,0.0,0.0,0.0,0.0,0.0,"[0.0, 10.445205067125382, 11.971959395089929, 14.974269122963769, 21.06835154557141, 21.946108235323358, 31.36072240420414]","[0.0, 11.63962656865132, 12.9184611899325, 14.434394618191853, 21.050112065752394, 20.801627924070914, 30.741326486288504]",D,P,T,-10.328832804635171,-6.048184354597437,0.0,0.0,0.0,4.03290062611844,3.2158614346930854,4.0329006261184395,3.215861434693082,8.881784197001252e-16,3.552713678800501e-15,0.0,0.0,1,2.670557431416735,5.773159728050814e-15,1,816001:816900
816067,67,820490,75d42b9d8084c5f6000971ffd37906635f47d77f50849137db3cda4a65fee882,strong,0.7902414029436613,high,elevated,front_loaded,False,0.35,False,-34.146064106279525,-30.76749091456546,-30.11316348016108,-27.55162947987238,4.032900626118444,3.215861434693082,27,5,15,0.8065801252236888,0.6431722869386164,0.0,0.0,0.0,0.0,0.0,"[0.0, 7.3534323723915875, 10.024966480452129, 15.851644524879166, 21.296729309274205, 24.998854315579344, 34.146064106279525]","[0.0, 6.53984254935013, 8.336504901044517, 13.597512829113466, 18.685911513711346, 22.182501871839463, 30.76749091456546]",D,P,T,-13.96449355059236,-14.829557949506736,0.010932250579198666,0.0008437820032183851,0.0,4.032900626118444,3.215861434693082,4.0329006261184395,3.215861434693082,4.440892098500626e-15,0.0,0.0,0.0,1,2.670557431416735,4.884981308350689e-15,1,816001:816900
816068,68,820496,f627ff377ece217dc3e78ccc13ab3eadfdd9170ba8fea65cd4e9fb08fa6ca226,strong,0.7831633438564238,degraded,elevated,front_loaded,False,0.35,False,-34.680872862640726,-33.47690995354864,-31.678563134766886,-31.96097652528929,3.0023097278738398,1.515933428259352,27,5,13,0.600461945574768,0.3031866856518704,0.0,0.0,0.0,0.0,0.0,"[0.0, 7.735025632423582, 11.055557378696726, 16.88223542312376, 22.708913467550794, 26.67844285203654, 34.680872862640726]","[0.0, 6.712451792821199, 10.036432907478243, 15.297440835547192, 20.55844876361614, 25.40974864123585, 33.47690995354864]",D,P,T,-16.544973815922166,-15.103042873708223,2.667773487674552e-07,7.259247586377526e-08,0.0,3.0023097278738398,1.515933428259352,3.0023097278738398,1.5159334282593526,0.0,6.661338147750939e-16,0.0,0.0,1,2.670557431416735,5.773159728050814e-15,1,816001:816900
816069,69,820512,ac3fd6e83583db73eabedeaeeff6b2fe482f1090bd430081eb87b78d082d8406,strong,0.8806262507092795,high,default,distributed,True,0.35,True,-30.856512181805215,-27.06172271739487,-21.951636922027685,-18.925074700916007,8.90487525977753,8.136648016478862,24,8,22,1.1131094074721912,1.0170810020598577,0.0,0.0,0.0,0.0,0.0,"[0.0, 8.450860438523971, 12.08056388360755, 17.453227106781025, 22.655977360253416, 24.29692057006936, 30.856512181805215]","[0.0, 8.116714595340234, 11.765980775800793, 17.007055282731116, 21.64711294108186, 21.74384728634252, 27.06172271739487]",D,P,T,-12.4876431642697,-10.974343146988486,0.0,0.0,0.0,8.90487525977753,8.136648016478862,8.904875259777533,8.136648016478862,3.552713678800501e-15,0.0,0.0,0.0,1,2.670557431416735,5.773159728050814e-15,1,816001:816900
816070,70,820529,1e147ba035868decfecfd92744696354577bfe00d9fcb87d5fffe92f03231fe9,strong,0.8003773630484342,degraded,default,distributed,True,0.35,False,-31.20750690787493,-28.204516690776387,-27.556199541788487,-25.161264499554374,3.651307366086442,3.043252191222013,27,5,15,0.7302614732172884,0.6086504382444027,0.0,0.0,0.0,0.0,0.0,"[0.0, 8.76561653066818, 11.055557378696722, 17.149639801304364, 21.831538065635407, 24.503072173695948, 31.20750690787493]","[0.0, 8.412379799254929, 10.036432907478243, 16.65215035503879, 21.39533055269453, 23.19199290438892, 28.204516690776387]",D,P,T,-7.448352539305365,-5.564699430395949,0.0,0.0,0.0,3.651307366086442,3.043252191222013,3.651307366086442,3.043252191222013,0.0,0.0,0.0,0.0,1,2.3196827878973805,4.884981308350689e-15,1,816001:816900
816071,71,820537,c99e08210e0b95abd498c4bea1090a15146a227a21d413644bf1780a85ba9cb3,strong,0.8874809507815544,high,elevated,distributed,False,0.65,False,-32.084882309790316,-27.367634901698004,-21.843710379212848,-18.7181562954649,10.241171930577469,8.649478606233103,22,10,16,1.0241171930577468,0.8649478606233103,0.0,0.0,0.0,0.0,0.0,"[0.0, 7.4676212542429745, 10.788153000516118, 17.263828683155754, 22.05991582933819, 23.700859039154132, 32.084882309790316]","[0.0, 5.357742273329606, 8.681723387986658, 15.470050079018266, 19.031130000653487, 19.127864345914144, 27.367634901698004]",D,P,T,-16.342602379067493,-16.419345653231815,0.11540575674302805,0.003791564903261657,0.0,10.241171930577469,8.649478606233103,10.241171930577472,8.6494786062331,3.552713678800501e-15,3.552713678800501e-15,0.0,0.0,1,2.670557431416735,5.773159728050814e-15,1,816001:816900
816072,72,820560,e29d353ae99635efcd67031b407f41e8fc4bb2e4d73e32774942bc02f55fcd47,strong,0.7879590499235631,degraded,elevated,distributed,False,0.65,False,-32.505502184300134,-31.259154216701706,-24.884665433727946,-23.364602147859987,7.620836750572188,7.894552068841719,24,8,13,0.9526045938215235,0.9868190086052149,0.0,0.0,0.0,0.0,0.0,"[0.0, 7.735025632423582, 9.643373220420127, 15.737455643027769, 22.213131325667405, 25.53366307194055, 32.505502184300134]","[0.0, 6.712451792821199, 8.163895657573448, 14.779613105133986, 21.567939796165597, 24.891920910822645, 31.259154216701706]",D,P,T,-13.404570196255639,-9.584274837846104,0.0,0.0,0.0,7.620836750572188,7.894552068841719,7.620836750572187,7.894552068841721,8.881784197001252e-16,1.7763568394002505e-15,0.0,0.0,1,2.670557431416735,5.773159728050814e-15,1,816001:816900
