sweep_stage,eta_self,lambda_self,cross_level_coupling,parity_gap,parity_pass,h1_self_threat_complete_count,h1_median_self_threat_gap,h1_min_self_threat_gap,h1_earned_count,h1_tie_count,h1_failed_count,heldout_h1_minus_h2
coarse,0.1,1.1,3.0,0.0006303432157834243,true,10,0.0,0,0,10,0,-0.00021430506532271743
coarse,0.25,0.25,0.25,0.418073694748734,false,0,missing,missing,0,0,10,-0.26857748300658224
coarse,0.25,0.25,0.5,0.6332615142787412,false,0,missing,missing,0,0,10,-0.4357412038326277
coarse,0.25,0.25,0.75,0.8665721119941494,false,0,missing,missing,0,0,10,-0.6467595088807121
coarse,0.25,0.25,1.0,1.1071811708966828,false,0,missing,missing,0,0,10,-0.8975235423745537
coarse,0.25,0.25,1.35,1.426713086986649,false,0,missing,missing,0,0,10,-1.2877397510571558
coarse,0.25,0.25,1.5,1.5460661799362814,false,0,missing,missing,0,0,10,-1.4524436589409402
coarse,0.25,0.25,2.0,1.8146961724709432,false,0,missing,missing,0,0,10,-1.8606286556829565
coarse,0.25,0.25,2.5,1.9081113243409045,false,0,missing,missing,0,0,10,-1.996930612218628
coarse,0.25,0.25,3.0,1.933579790314487,false,0,missing,missing,0,0,10,-2.0246779351753896
coarse,0.25,0.4,0.25,0.4393592857399257,false,0,missing,missing,0,0,10,-0.17153153711901392
coarse,0.25,0.4,0.5,0.5779259520596549,false,0,missing,missing,0,0,10,-0.25975798838681774
coarse,0.25,0.4,0.75,0.7262608701722961,false,0,missing,missing,0,0,10,-0.36647152203238365
coarse,0.25,0.4,1.0,0.8810814767824022,false,0,missing,missing,0,0,10,-0.49082896526986397
coarse,0.25,0.4,1.35,1.1009205423540365,false,0,missing,missing,0,0,10,-0.6897903184138078
coarse,0.25,0.4,1.5,1.193441430243875,false,0,missing,missing,0,0,10,-0.7816367947643018
coarse,0.25,0.4,2.0,1.4780289730101799,false,0,missing,missing,0,0,10,-1.0992250634968301
coarse,0.25,0.4,2.5,1.7036884529546719,false,0,missing,missing,0,0,10,-1.4026001553632557
coarse,0.25,0.4,3.0,1.8578797929391462,false,0,missing,missing,0,0,10,-1.6538591629349382
coarse,0.25,0.55,0.25,0.382808146942903,false,7,-2.0,-4,0,0,10,-0.036030971984321536
coarse,0.25,0.55,0.5,0.4168365530902639,false,7,-3.0,-4,0,0,10,-0.041037262929249974
coarse,0.25,0.55,0.75,0.4533671706711374,false,7,-3.0,-4,0,0,10,-0.05500034487257194
coarse,0.25,0.55,1.0,0.490247628898136,false,7,-4.0,-4,0,0,10,-0.07521681451514106
coarse,0.25,0.55,1.35,0.5383273939215911,false,7,-4.0,-5,0,0,10,-0.10677667490236775
coarse,0.25,0.55,1.5,0.5565549551420227,false,7,-4.0,-5,0,0,10,-0.11911168604578593
coarse,0.25,0.55,2.0,0.603819325180451,false,7,-4.0,-5,0,0,10,-0.14625974542337894
coarse,0.25,0.55,2.5,0.6319131360096893,false,7,-5.0,-6,0,0,10,-0.15120830366057092
coarse,0.25,0.55,3.0,0.6479631508840368,false,7,-5.0,-6,0,0,10,-0.14387219334681367
coarse,0.25,0.7,0.25,0.31720794888759174,false,10,11.5,10,0,0,10,0.0565877026791477
coarse,0.25,0.7,0.5,0.27699599940059194,false,10,9.0,8,0,0,10,0.08009041406507988
coarse,0.25,0.7,0.75,0.24784018276906683,false,10,7.0,7,0,0,10,0.08271363870771287
coarse,0.25,0.7,1.0,0.22640982682312483,false,10,6.0,5,0,1,9,0.07022730642882791
coarse,0.25,0.7,1.35,0.20307197000012267,false,10,4.0,4,0,6,4,0.0395221565814452
coarse,0.25,0.7,1.5,0.1938342751380404,false,10,4.0,4,0,0,10,0.0251916792304952
coarse,0.25,0.7,2.0,0.16179812048828635,false,10,3.0,3,0,2,8,-0.014210856787039428
coarse,0.25,0.7,2.5,0.12843396254155848,false,10,2.5,2,0,8,2,-0.035495053335802385
coarse,0.25,0.7,3.0,0.09814545681879266,false,10,2.0,2,0,2,8,-0.045003651533892075
coarse,0.25,0.9,0.25,0.2690867109349871,false,10,10.0,8,0,0,10,0.10974721904750101
coarse,0.25,0.9,0.5,0.18672345510011606,false,10,6.0,5,0,1,9,0.13991453308350948
coarse,0.25,0.9,0.75,0.12953465530083558,false,10,4.0,3,0,0,10,0.14162446168162474
coarse,0.25,0.9,1.0,0.09154497666690048,false,10,2.0,2,0,6,4,0.12443513635268622
coarse,0.25,0.9,1.35,0.05921841571820069,false,10,1.0,1,0,10,0,0.0855664484800227
coarse,0.25,0.9,1.5,0.04986320443075826,true,10,1.0,1,0,10,0,0.06806030878439223
coarse,0.25,0.9,2.0,0.02804292163104327,true,10,0.0,0,0,10,0,0.02139373976743142
coarse,0.25,0.9,2.5,0.014017186764616163,true,10,0.0,0,0,10,0,-0.0025171589934082084
coarse,0.25,0.9,3.0,0.0052562162289954695,true,10,0.0,0,0,10,0,-0.012260459121108402
coarse,0.25,1.1,0.25,0.2510453628642271,false,10,9.0,7,0,0,10,0.1272123542112204
coarse,0.25,1.1,0.5,0.1550519440770427,false,10,5.0,4,0,0,10,0.158514066182182
coarse,0.25,1.1,0.75,0.09128245981564254,false,10,3.0,2,0,1,9,0.15922558321445396
coarse,0.25,1.1,1.0,0.05213431348936143,false,10,1.0,0,0,10,0,0.14028514674812198
coarse,0.25,1.1,1.35,0.023964456475516094,true,10,0.0,0,0,10,0,0.09915367294962696
coarse,0.25,1.1,1.5,0.017547767339935183,true,10,0.0,0,0,10,0,0.08094733028634393
coarse,0.25,1.1,2.0,0.006845175705843032,true,10,0.0,0,0,10,0,0.033167370745686486
coarse,0.25,1.1,2.5,0.002411176946929272,true,10,0.0,0,0,10,0,0.009225456250532726
coarse,0.25,1.1,3.0,0.00017935326363049953,true,10,0.0,0,0,10,0,-0.0003190935828539798
coarse,0.5,0.25,0.25,0.41786170175025483,false,0,missing,missing,0,0,10,-0.2680889570436754
coarse,0.5,0.25,0.5,0.6327744555646542,false,0,missing,missing,0,0,10,-0.43453890681208496
coarse,0.5,0.25,0.75,0.8657767570170394,false,0,missing,missing,0,0,10,-0.6446617737609882
coarse,0.5,0.25,1.0,1.1060952247395608,false,0,missing,missing,0,0,10,-0.8944733309216811
coarse,0.5,0.25,1.35,1.4253761333570858,false,0,missing,missing,0,0,10,-1.283681926343073
coarse,0.5,0.25,1.5,1.5447164870707446,false,0,missing,missing,0,0,10,-1.4482404831219498
coarse,0.5,0.25,2.0,1.813786765414539,false,0,missing,missing,0,0,10,-1.8577483209733425
coarse,0.5,0.25,2.5,1.9077859952767648,false,0,missing,missing,0,0,10,-1.9960198884711686
coarse,0.5,0.25,3.0,1.9334710347673278,false,0,missing,missing,0,0,10,-2.0244127716229308
coarse,0.5,0.4,0.25,0.42692318822788095,false,0,missing,missing,0,0,10,-0.1523690907849452
coarse,0.5,0.4,0.5,0.5508027307807228,false,0,missing,missing,0,0,10,-0.21663288639727618
coarse,0.5,0.4,0.75,0.6824460749735783,false,0,missing,missing,0,0,10,-0.29414155833272615
coarse,0.5,0.4,1.0,0.819050283714365,false,0,missing,missing,0,0,10,-0.38380279875201273
coarse,0.5,0.4,1.35,1.0123824643586148,false,0,missing,missing,0,0,10,-0.525390600372903
coarse,0.5,0.4,1.5,1.0938847238632614,false,0,missing,missing,0,0,10,-0.5900855050351914
coarse,0.5,0.4,2.0,1.3483625322395498,false,0,missing,missing,0,0,10,-0.8139024107184188
coarse,0.5,0.4,2.5,1.5623773234611964,false,0,missing,missing,0,0,10,-1.0400641635864174
coarse,0.5,0.4,3.0,1.7283662479089024,false,0,missing,missing,0,0,10,-1.2611195131754895
coarse,0.5,0.55,0.25,0.3570568890031437,false,10,4.0,1,0,2,8,-0.01005171406309674
coarse,0.5,0.55,0.5,0.3676644461085168,false,10,3.0,0,0,4,6,0.003945468037906075
coarse,0.5,0.55,0.75,0.38286206313023263,false,10,2.0,0,0,6,4,0.003078583679112512
coarse,0.5,0.55,1.0,0.400199579226063,false,10,0.5,-1,0,9,1,-0.008829683702666291
coarse,0.5,0.55,1.35,0.4233787440068433,false,10,0.0,-1,0,9,1,-0.03486536230080883
coarse,0.5,0.55,1.5,0.43168861780252743,false,10,0.0,-1,0,8,2,-0.04651011646369807
coarse,0.5,0.55,2.0,0.4489911085516525,false,10,-1.0,-1,0,8,2,-0.07658460666516365
coarse,0.5,0.55,2.5,0.45233613008522755,false,10,-1.0,-2,0,3,7,-0.09038334241403523
coarse,0.5,0.55,3.0,0.44887097420307953,false,10,-1.0,-4,0,4,6,-0.0953469993959205
coarse,0.5,0.7,0.25,0.29787300983952225,false,10,11.0,9,0,0,10,0.06865884134271988
coarse,0.5,0.7,0.5,0.2443062216696632,false,10,8.0,7,0,1,9,0.09703034542050104
coarse,0.5,0.7,0.75,0.20689974977528502,false,10,6.0,5,0,1,9,0.0997699667035325
coarse,0.5,0.7,1.0,0.18119472202155407,false,10,5.0,4,0,3,7,0.08479816240935573
coarse,0.5,0.7,1.35,0.15653180019530855,false,10,3.0,3,0,10,0,0.049113578099514
coarse,0.5,0.7,1.5,0.14787884956772657,false,10,3.0,3,0,10,0,0.03267867558255705
coarse,0.5,0.7,2.0,0.12075204792377092,false,10,2.5,2,0,8,2,-0.012105369220467732
coarse,0.5,0.7,2.5,0.09446813505638885,false,10,2.0,2,0,4,6,-0.035872336205827415
coarse,0.5,0.7,3.0,0.07131570265694559,false,10,1.0,1,0,8,2,-0.045946447653960276
coarse,0.5,0.9,0.25,0.26112025608989203,false,10,9.0,8,0,0,10,0.11335084286211611
coarse,0.5,0.9,0.5,0.1743240068170851,false,10,6.0,4,0,0,10,0.14445230261867226
coarse,0.5,0.9,0.75,0.11554052687142363,false,10,3.0,3,0,5,5,0.14563187778317643
coarse,0.5,0.9,1.0,0.07787834470034899,false,10,2.0,2,0,6,4,0.12735275775055743
coarse,0.5,0.9,1.35,0.04769756020530913,true,10,1.0,1,0,10,0,0.0869905704407889
coarse,0.5,0.9,1.5,0.039508807583357786,true,10,1.0,1,0,10,0,0.06899177582536759
coarse,0.5,0.9,2.0,0.021474340994938335,true,10,0.0,0,0,10,0,0.021406193440709875
coarse,0.5,0.9,2.5,0.01025648528263512,true,10,0.0,0,0,10,0,-0.00269652243234475
coarse,0.5,0.9,3.0,0.0032197156653243075,true,10,0.0,0,0,10,0,-0.012395009499915344
coarse,0.5,1.1,0.25,0.2482378716380893,false,10,9.0,7,0,0,10,0.12834630530663582
coarse,0.5,1.1,0.5,0.15082087415404088,false,10,5.0,4,0,0,10,0.15989675534414188
coarse,0.5,1.1,0.75,0.08671210937386231,false,10,3.0,2,0,1,9,0.16040166710149556
coarse,0.5,1.1,1.0,0.04790623647672776,true,10,1.0,0,0,10,0,0.14110430047498984
coarse,0.5,1.1,1.35,0.020704901638618323,true,10,0.0,0,0,10,0,0.09952398937436324
coarse,0.5,1.1,1.5,0.014737842418375446,true,10,0.0,0,0,10,0,0.08117980466524127
coarse,0.5,1.1,2.0,0.005302944920110464,true,10,0.0,0,0,10,0,0.03316443819098225
coarse,0.5,1.1,2.5,0.0016460625027339137,true,10,0.0,0,0,10,0,0.009183881477464628
coarse,0.5,1.1,3.0,0.00018064904193237918,true,10,0.0,0,0,10,0,-0.0003472140335754048
coarse,0.75,0.25,0.25,0.41767775066774826,false,0,missing,missing,0,0,10,-0.2676551271854466
coarse,0.75,0.25,0.5,0.6323530218620073,false,0,missing,missing,0,0,10,-0.43348030761606327
coarse,0.75,0.25,0.75,0.8650880020865885,false,0,missing,missing,0,0,10,-0.6428225322017829
coarse,0.75,0.25,1.0,1.1051498530709822,false,0,missing,missing,0,0,10,-0.8917988749820719
coarse,0.75,0.25,1.35,1.4241910642925337,false,0,missing,missing,0,0,10,-1.2800914928278706
coarse,0.75,0.25,1.5,1.5435047783685338,false,0,missing,missing,0,0,10,-1.4444898018157621
coarse,0.75,0.25,2.0,1.8129204440846924,false,0,missing,missing,0,0,10,-1.8550418088512766
coarse,0.75,0.25,2.5,1.90746309547861,false,0,missing,missing,0,0,10,-1.9951279554553425
coarse,0.75,0.25,3.0,1.9333620088902712,false,0,missing,missing,0,0,10,-2.02415270474961
coarse,0.75,0.4,0.25,0.4150543493315812,false,0,missing,missing,0,0,10,-0.13506612463710577
coarse,0.75,0.4,0.5,0.5253762906551571,false,0,missing,missing,0,0,10,-0.17936049255205067
coarse,0.75,0.4,0.75,0.6418833060060132,false,0,missing,missing,0,0,10,-0.23381791881995895
coarse,0.75,0.4,1.0,0.7619942112996676,false,0,missing,missing,0,0,10,-0.29689210455204074
coarse,0.75,0.4,1.35,0.9307135213084099,false,0,missing,missing,0,0,10,-0.39453219838281306
coarse,0.75,0.4,1.5,1.0014830074378522,false,0,missing,missing,0,0,10,-0.4378536454463724
coarse,0.75,0.4,2.0,1.2222485889240537,false,0,missing,missing,0,0,10,-0.5804131379457246
coarse,0.75,0.4,2.5,1.4109362988030727,false,0,missing,missing,0,0,10,-0.7158912247527341
coarse,0.75,0.4,3.0,1.5649646158310533,false,0,missing,missing,0,0,10,-0.8484938313463813
coarse,0.75,0.55,0.25,0.3386050158962316,false,10,6.0,3,0,0,10,0.0036194745593314814
coarse,0.75,0.55,0.5,0.3337907628084158,false,10,4.0,2,0,1,9,0.02541624346032012
coarse,0.75,0.55,0.75,0.33625673043599213,false,10,3.0,1,0,2,8,0.027846685127396187
coarse,0.75,0.55,1.0,0.34312802616147253,false,10,2.0,1,0,4,6,0.01606659322189352
coarse,0.75,0.55,1.35,0.3546712273058392,false,10,1.0,0,0,8,2,-0.013038218757099096
coarse,0.75,0.55,1.5,0.35886949601320217,false,10,1.0,0,0,10,0,-0.026658798839406583
coarse,0.75,0.55,2.0,0.3655300621833725,false,10,0.0,0,0,10,0,-0.0641576799166026
coarse,0.75,0.55,2.5,0.3622014008781945,false,10,0.0,-1,0,10,0,-0.08445208830236872
coarse,0.75,0.55,3.0,0.35495911693965365,false,10,-1.0,-2,0,10,0,-0.09364740695392715
coarse,0.75,0.7,0.25,0.2865805106730289,false,10,10.0,8,0,0,10,0.07354588037748944
coarse,0.75,0.7,0.5,0.2255528081224153,false,10,7.0,6,0,0,10,0.10357880540893627
coarse,0.75,0.7,0.75,0.18390971881847162,false,10,5.5,4,0,0,10,0.10605064501011086
coarse,0.75,0.7,1.0,0.15639708515080908,false,10,4.0,3,0,0,10,0.0899121112169401
coarse,0.75,0.7,1.35,0.13189088580755415,false,10,3.0,2,0,4,6,0.05227994340053288
coarse,0.75,0.7,1.5,0.12392093152434802,false,10,3.0,2,0,0,10,0.035094880654659655
coarse,0.75,0.7,2.0,0.10040993269262355,false,10,2.0,1,0,10,0,-0.011442898778476707
coarse,0.75,0.7,2.5,0.07835764385486227,false,10,1.0,1,0,8,2,-0.035897890936276045
coarse,0.75,0.7,3.0,0.05900922409556658,false,10,1.0,1,0,9,1,-0.04609251498114719
coarse,0.75,0.9,0.25,0.2568907890300188,false,10,9.0,8,0,0,10,0.11471622157849193
coarse,0.75,0.9,0.5,0.16771071633354645,false,10,5.0,4,0,0,10,0.1461776676670542
coarse,0.75,0.9,0.75,0.10806102603991585,false,10,3.0,2,0,2,8,0.14719458017786768
coarse,0.75,0.9,1.0,0.07057622224309928,false,10,2.0,1,0,5,5,0.12856417558939054
coarse,0.75,0.9,1.35,0.041567855646722496,true,10,1.0,1,0,10,0,0.087716134496505
coarse,0.75,0.9,1.5,0.034016432640796734,true,10,1.0,1,0,10,0,0.0695499695040494
coarse,0.75,0.9,2.0,0.018039495398690597,true,10,0.0,0,0,10,0,0.02160054261599087
coarse,0.75,0.9,2.5,0.008325335069623074,true,10,0.0,0,0,10,0,-0.0026462847096716535
coarse,0.75,0.9,3.0,0.002196015369977933,true,10,0.0,0,0,10,0,-0.01238486524920146
coarse,0.75,1.1,0.25,0.24679011729214773,false,10,9.0,7,0,0,10,0.1287717637443408
coarse,0.75,1.1,0.5,0.14860884961529053,false,10,5.0,4,0,0,10,0.16042654727286387
coarse,0.75,1.1,0.75,0.08429292465296229,false,10,3.0,2,0,2,8,0.16087656808200018
coarse,0.75,1.1,1.0,0.045644232831093645,true,10,1.0,1,0,10,0,0.14147150526286278
coarse,0.75,1.1,1.35,0.018940237042277097,true,10,0.0,0,0,10,0,0.09974824190370168
coarse,0.75,1.1,1.5,0.01321054547915157,true,10,0.0,0,0,10,0,0.08135573937259133
coarse,0.75,1.1,2.0,0.004457796489046262,true,10,0.0,0,0,10,0,0.03323398797785709
coarse,0.75,1.1,2.5,0.0012264502403233069,true,10,0.0,0,0,10,0,0.009207409502214436
coarse,0.75,1.1,3.0,0.00037715970370788554,true,10,0.0,0,0,10,0,-0.0003393830589960567
coarse,1.0,0.25,0.25,0.4175165172296321,false,0,missing,missing,0,0,10,-0.26726389600598255
coarse,1.0,0.25,0.5,0.6319847810423636,false,0,missing,missing,0,0,10,-0.4325340068937943
coarse,1.0,0.25,0.75,0.8644855399432605,false,0,missing,missing,0,0,10,-0.6411856743384382
coarse,1.0,0.25,1.0,1.1043178229659891,false,0,missing,missing,0,0,10,-0.8894186183500216
coarse,1.0,0.25,1.35,1.4231265272135762,false,0,missing,missing,0,0,10,-1.276864561837289
coarse,1.0,0.25,1.5,1.5424009043982856,false,0,missing,missing,0,0,10,-1.4410879135810393
coarse,1.0,0.25,2.0,1.8120811415673497,false,0,missing,missing,0,0,10,-1.8524499131752648
coarse,1.0,0.25,2.5,1.9071374747444654,false,0,missing,missing,0,0,10,-1.9942361856851134
coarse,1.0,0.25,3.0,1.9332510058440013,false,0,missing,missing,0,0,10,-2.0238918801426906
coarse,1.0,0.4,0.25,0.40400364708709696,false,0,missing,missing,0,0,10,-0.12020508309777672
coarse,1.0,0.4,0.5,0.5021380223621157,false,0,missing,missing,0,0,10,-0.14875420001963435
coarse,1.0,0.4,0.75,0.6053637242598506,false,0,missing,missing,0,0,10,-0.18627869585422308
coarse,1.0,0.4,1.0,0.7111937556996561,false,0,missing,missing,0,0,10,-0.23086529713683135
coarse,1.0,0.4,1.35,0.8585832288508921,false,0,missing,missing,0,0,10,-0.2992098008909091
coarse,1.0,0.4,1.5,0.9199065503128365,false,0,missing,missing,0,0,10,-0.3285127401435446
coarse,1.0,0.4,2.0,1.1093561387835296,false,0,missing,missing,0,0,10,-0.41726412802842694
coarse,1.0,0.4,2.5,1.26985829367955,false,0,missing,missing,0,0,10,-0.48887071788164216
coarse,1.0,0.4,3.0,1.401628364380594,false,0,missing,missing,0,0,10,-0.5501104097349861
coarse,1.0,0.55,0.25,0.32506868456427374,false,10,7.0,5,0,0,10,0.01141124779283842
coarse,1.0,0.55,0.5,0.3095177323117253,false,10,5.0,3,0,0,10,0.037011154992825535
coarse,1.0,0.55,0.75,0.30368977245605244,false,10,3.0,3,0,1,9,0.040426618782763546
coarse,1.0,0.55,1.0,0.3042643577488868,false,10,3.0,2,0,1,9,0.027868718187836317
coarse,1.0,0.55,1.35,0.309539774350874,false,10,2.0,1,0,3,7,-0.003815161863578831
coarse,1.0,0.55,1.5,0.31175500429178193,false,10,2.0,1,0,5,5,-0.018756038262758012
coarse,1.0,0.55,2.0,0.3140404798414793,false,10,1.0,0,0,10,0,-0.06042651864481913
coarse,1.0,0.55,2.5,0.30880996320303644,false,10,0.5,0,0,10,0,-0.08346747527725684
coarse,1.0,0.55,3.0,0.3010595525722123,false,10,0.0,0,0,10,0,-0.09384037265279088
coarse,1.0,0.7,0.25,0.2791446343609908,false,10,10.0,7,0,0,10,0.07609785798850749
coarse,1.0,0.7,0.5,0.21327273646638611,false,10,6.5,6,0,0,10,0.10699198880963451
coarse,1.0,0.7,0.75,0.1689723358768791,false,10,5.0,3,0,1,9,0.10936887385194421
coarse,1.0,0.7,1.0,0.14043842206892931,false,10,4.0,2,0,6,4,0.09271687092486292
coarse,1.0,0.7,1.35,0.11628066051784425,false,10,3.0,2,0,0,10,0.05421735138003331
coarse,1.0,0.7,1.5,0.10885562618047906,false,10,2.0,2,0,8,2,0.03668585063992452
coarse,1.0,0.7,2.0,0.08794882023987294,false,10,2.0,1,0,4,6,-0.010751076643866209
coarse,1.0,0.7,2.5,0.06873508642131987,false,10,1.0,1,0,10,0,-0.03566848349351337
coarse,1.0,0.7,3.0,0.0518345772811708,false,10,1.0,0,0,10,0,-0.0460281248587503
coarse,1.0,0.9,0.25,0.2542286755873953,false,10,9.0,8,0,0,10,0.11542861058532167
coarse,1.0,0.9,0.5,0.16352106563016738,false,10,5.0,4,0,0,10,0.1471056863038792
coarse,1.0,0.9,0.75,0.10329866218210187,false,10,3.0,2,0,2,8,0.14808929135082616
