arm,condition,seed,session,scaffolded,part_dominance,depth_index,opacity_index,posterior_confidence,root_belief_alone,revision_weight,profile_part,profile_context,profile_interoception,profile_relational,profile_policy
witnessing,full,7101,1,1.0,0.5650240912899366,0.8218835130564148,0.9677659071765363,0.9677659071765363,0.8119209283127035,0.33394731333083405,0.45601540448117134,0.372310533310193,0.3612536211783779,0.6504582177304624,0.38451701739294303
witnessing,full,7101,2,1.0,0.4892972283288481,0.8869633109924155,0.9677659071765363,0.9677659071765363,0.700842420941607,0.277830851308696,0.7643603853323728,0.7211427136157966,0.6745497601185673,1.0556282102445462,0.6925147637557522
witnessing,full,7101,3,1.0,0.43012802928668853,0.7517681302498219,0.9677659071765363,0.9677659071765363,0.5653405316624931,0.2674760217005258,0.9908595048804105,1.0514967092067136,0.7622952979841766,1.3352791294879016,0.952945107343262
witnessing,full,7101,4,1.0,0.5146784698502174,0.7811827571918172,0.9677659071765363,0.9677659071765363,0.4302287021185704,0.24717431055697706,1.2219272664088792,1.2443667236694949,0.9729448030813144,1.493130372421216,0.9345292422346891
witnessing,full,7101,5,1.0,0.548465438776831,0.8560053904617507,0.9677659071765363,0.9677659071765363,0.300256914717614,0.2568893819319185,1.3156651112984246,1.2686927902968341,1.11213079759305,1.5725230654158837,0.9547032708488903
witnessing,full,7101,6,1.0,0.5045032021406407,0.7754727577370047,0.9677659071765363,0.9677659071765363,0.20964498329809692,0.21863269648498893,1.2643908467363654,1.2266854138554442,1.2565038733671523,1.5382897604639816,1.0163383945003892
witnessing,full,7101,7,0.0,0.39013260180487247,0.5276271996780685,0.6991568995125621,0.7960591026973142,0.1643836792278437,0.13586348636959222,1.2813288854997282,1.3986507487617628,1.2906829775423043,1.575894590122553,1.0135129269334193
witnessing,full,7101,8,0.0,0.5570848131845686,0.3822103915617987,0.6991568995125621,0.7960591026973142,0.12230232204780858,0.15674537119005696,1.1981558931983347,1.204546217387852,1.1696271658006325,1.4679151808879443,0.7793950036817141
witnessing,full,7101,9,0.0,0.4363910525191787,0.4353093872806233,0.6991568995125621,0.7960591026973142,0.09368635626783677,0.13573940383816627,1.2014286670539567,1.2876370969977826,0.9335288398558081,1.489800163091038,1.0573132311405777
witnessing,full,7101,10,0.0,0.34914573614237393,0.4602625058836063,0.6991568995125621,0.7960591026973142,0.07171672133222155,0.13235461231844192,1.164512729786807,1.422429289347285,1.2024657279702158,1.563073050663794,1.1196701519417718
witnessing,full,7101,11,0.0,0.46472569242677114,0.5079594316498953,0.6991568995125621,0.7960591026973142,0.05344492742314958,0.14252927917059835,1.122941319894278,1.3435508258899926,1.2599431859657324,1.5667066349257035,1.2039250039774096
witnessing,full,7101,12,0.0,0.6694458907474212,0.47563651209464874,0.6991568995125621,0.7960591026973142,0.03941466662952233,0.14510336349803032,1.2208609423501957,1.145057814040308,1.2674238488930996,1.5271874163130756,1.0655478628984671
witnessing,full,7102,1,1.0,0.4385229684882556,0.8058406265196457,0.9677659071765363,0.9677659071765363,0.8519990624665855,0.20311716333096602,0.4094645697497438,0.4885553465931238,0.4048658612284418,0.5068038731361297,0.565545737510509
witnessing,full,7102,2,1.0,0.3630649154405808,0.8269214453515158,0.9677659071765363,0.9677659071765363,0.7624626945630054,0.26551723752294953,0.6464167606805447,0.8800660388917314,0.731899796139495,0.9438763108598236,0.7925117016338897
witnessing,full,7102,3,1.0,0.4149081591126322,0.8775296861591547,0.9677659071765363,0.9677659071765363,0.6426230646372678,0.2633916467552966,0.8522545965923555,1.1211238291305752,0.8469182414538025,1.2100295236193173,0.9265600879253078
witnessing,full,7102,4,1.0,0.42354339815861725,0.8865936673337175,0.9677659071765363,0.9677659071765363,0.5193602728601111,0.2314942928755399,0.984788748120684,1.266257930042991,1.0228405462149928,1.346976257747687,1.0073134087927906
witnessing,full,7102,5,1.0,0.47504941026686787,0.9270622224232492,0.9677659071765363,0.9677659071765363,0.39043681076371306,0.2377074117035788,1.1000578412833657,1.3234201883919066,1.147935901182224,1.4485091698017603,1.0706516567732003
witnessing,full,7102,6,1.0,0.5382132730623291,0.8047155990501832,0.9677659071765363,0.9677659071765363,0.24324528847441448,0.3134056111786703,1.2414763818271148,1.3443542193177227,1.2244050107335576,1.63459861218206,1.0152705722579565
witnessing,full,7102,7,0.0,0.41424458478191245,0.4837808461562392,0.6991568995125621,0.7960591026973142,0.18982275661100917,0.14372429264675743,1.2009473838925209,1.3817669496733413,1.1877331304887362,1.6713860856818394,1.2705283552936417
witnessing,full,7102,8,0.0,0.6297022243765518,0.5143186122080431,0.6991568995125621,0.7960591026973142,0.14447299408060246,0.1488467256545084,1.3614462083536079,1.314502851649849,1.1415259890328358,1.6636984569404472,1.1784731997025626
witnessing,full,7102,9,0.0,0.5855664347896562,0.5129942939781531,0.6991568995125621,0.7960591026973142,0.1075511987809732,0.1533532191705511,1.400434864150869,1.257899954850112,0.9974329155764788,1.6339536063746758,1.165960555813963
witnessing,full,7102,10,0.0,0.6877261778042358,0.47434054740169507,0.6991568995125621,0.7960591026973142,0.07856613139557984,0.15726734399320794,1.403745479965704,1.054178438224193,0.9841630653848019,1.5886846214708927,1.1144942136441234
witnessing,full,7102,11,0.0,0.6401296387649017,0.5074186722242708,0.6991568995125621,0.7960591026973142,0.056831863927614024,0.15779868704229252,1.3727846660304153,0.9507824832475567,1.0395539460733536,1.5659920745682867,1.0605465218369885
witnessing,full,7102,12,0.0,0.5797894698210402,0.5131889727776783,0.6991568995125621,0.7960591026973142,0.042074630326704554,0.14371704815753347,1.5051149064132414,1.1151424760214679,1.1091429966705797,1.6194393750872296,1.0073159269511474
witnessing,full,7103,1,1.0,0.4292651012897923,0.8816424994629335,0.9677659071765363,0.9677659071765363,0.8488451944820897,0.21438739093858156,0.4093514201317771,0.5005034670386967,0.41061003371672317,0.48677952291209586,0.3953632411937805
witnessing,full,7103,2,1.0,0.514212332876597,0.8681877043379812,0.9677659071765363,0.9677659071765363,0.7615339310157563,0.2565748270893303,0.6996889822850552,0.7434756863015475,0.6340951530153873,0.8536118106338659,0.6491699358277796
witnessing,full,7103,3,1.0,0.46107844797175696,0.8976043175599295,0.9677659071765363,0.9677659071765363,0.6473895588527465,0.2516015297855276,0.9016504682397446,0.9813460090874372,0.8053573767607115,1.1341757853169585,0.8798248118086616
witnessing,full,7103,4,1.0,0.43452785107488445,0.9185735831913037,0.9677659071765363,0.9677659071765363,0.5112238663209431,0.2557642380136299,1.0118813059495682,1.1503625944306435,0.9832868836172154,1.3317016643448327,0.9933556940679331
witnessing,full,7103,5,1.0,0.42931695056745656,0.8550299006494738,0.9677659071765363,0.9677659071765363,0.38768069480449324,0.2281703846396887,1.1301798832460903,1.3154314848811652,1.148882012918879,1.4448117954613182,1.025593597377134
witnessing,full,7103,6,1.0,0.4554282353306288,0.7814335899134196,0.9677659071765363,0.9677659071765363,0.2858547547701609,0.20842304422110877,1.1538643465776084,1.3370391412973162,1.1562845204835697,1.4035229671045677,0.9872440978685745
witnessing,full,7103,7,0.0,0.4737513096305833,0.49843566584432947,0.6991568995125621,0.7960591026973142,0.23425724656012503,0.12219267797539367,1.2938850975527354,1.4520731981540607,1.279424975803731,1.4797806726822096,1.055701416145069
witnessing,full,7103,8,0.0,0.542048726484114,0.5089972315327017,0.6991568995125621,0.7960591026973142,0.18466387627203132,0.1366530617830891,1.2866831156314462,1.340301228869186,1.0996540674072017,1.429111147794375,1.0576674267189798
witnessing,full,7103,9,0.0,0.5254723720439127,0.47346088419932314,0.6991568995125621,0.7960591026973142,0.14799281395546118,0.12062185474647769,1.3310975234023126,1.3349249531832477,1.3415735098376682,1.5055189828518454,1.2242417640447705
witnessing,full,7103,10,0.0,0.37017236273368936,0.4758273287032382,0.6991568995125621,0.7960591026973142,0.1148314651689117,0.13267331166325622,1.1913324832903314,1.364007918875615,1.3327609971537646,1.452630440028376,1.0339603881664987
