scenario,seed,part_dominance,depth_index,opacity_index,breadth,hyper_prediction_energy
blended_capture,7101,0.6027537478447292,0.0626981010566167,0.24412643242920362,0.4,1.448984626986166
blended_capture,7102,0.5583939927096773,0.03757208251402816,0.24412643242920362,0.4,0.26736524257803324
blended_capture,7103,0.6179980600628446,0.05332908953748619,0.24412643242920362,0.4,1.2059866222758004
blended_capture,7104,0.6712927511362453,0.05612163617606003,0.24412643242920362,0.4,2.437226908953011
blended_capture,7105,0.6414836265859231,0.06641794408650355,0.24412643242920362,0.4,1.9545488939600804
blended_capture,7106,0.575000308240268,0.05357839561965956,0.24412643242920362,0.4,0.9013847310200744
blended_capture,7107,0.5634273205393586,0.049208864408834284,0.24412643242920362,0.4,0.6656699992618568
blended_capture,7108,0.5046537295838384,0.049047529739072865,0.24412643242920362,0.4,1.1218314541556993
blended_capture,7109,0.6540986526187241,0.054912162767198486,0.24412643242920362,0.4,1.9439099515565068
blended_capture,7110,0.5524687800960816,0.05460150750761117,0.24412643242920362,0.4,1.028827442069987
blended_capture,7111,0.5799232971108275,0.023863604061154696,0.24412643242920362,0.4,1.6382794834927203
blended_capture,7112,0.6191229224501296,0.052068036630541874,0.24412643242920362,0.4,1.1935511492619486
blended_capture,7113,0.6024109481908266,0.027867460540800828,0.24412643242920362,0.4,1.6810385476513405
blended_capture,7114,0.4958647652344707,0.042196856803093936,0.24412643242920362,0.4,0.6575781467272408
blended_capture,7115,0.6981725869780552,0.07053842920307858,0.24412643242920362,0.4,3.3990584138700837
blended_capture,7116,0.5440570410376279,0.025636741056365188,0.24412643242920362,0.4,0.5427052399706114
blended_capture,7117,0.6175944968956668,0.0839208903427097,0.24412643242920362,0.4,2.920519452575386
blended_capture,7118,0.7148443024728657,0.10375327756403091,0.24412643242920362,0.4,6.213868905132796
blended_capture,7119,0.5171545313141711,0.030452742722017145,0.24412643242920362,0.4,0.024889256522969205
blended_capture,7120,0.7013269465302846,0.08178751826110828,0.24412643242920362,0.4,3.7126710495445674
known_urgent_threat,7101,0.8152476515040838,0.8756676744571797,0.976445098085901,1.0,2.778297398107389
known_urgent_threat,7102,0.870478142520098,0.8335229753544444,0.976445098085901,1.0,3.668287670662233
known_urgent_threat,7103,0.8300536133068811,0.8722134500316506,0.976445098085901,1.0,3.4952426151946527
known_urgent_threat,7104,0.8124692025703157,0.8823914787699677,0.976445098085901,1.0,2.7537680134949234
known_urgent_threat,7105,0.8345673028074715,0.8684443918788443,0.976445098085901,1.0,3.3430599036764628
known_urgent_threat,7106,0.825879352674888,0.9126054246451787,0.976445098085901,1.0,3.1323983173536565
known_urgent_threat,7107,0.8430858893646164,0.8421135066993012,0.976445098085901,1.0,3.568357272159548
known_urgent_threat,7108,0.814750340911989,0.808700747449222,0.976445098085901,1.0,3.335005350439076
known_urgent_threat,7109,0.8222014376186686,0.9037551523155052,0.976445098085901,1.0,2.857747650680739
known_urgent_threat,7110,0.8616311778578815,0.9040742901301384,0.976445098085901,1.0,3.393990868385648
known_urgent_threat,7111,0.8384994673632947,0.8584790942816741,0.976445098085901,1.0,2.9190874982730515
known_urgent_threat,7112,0.8607149984317009,0.8299479375641886,0.976445098085901,1.0,3.1542282382903313
known_urgent_threat,7113,0.8447095500689128,0.825531099890041,0.976445098085901,1.0,3.026979476983024
known_urgent_threat,7114,0.7782515393593946,0.8220989581212815,0.976445098085901,1.0,2.7186291396297158
known_urgent_threat,7115,0.7936533652991388,0.8426192519750121,0.976445098085901,1.0,2.8066830758440595
known_urgent_threat,7116,0.820526115554499,0.8335055914686367,0.976445098085901,1.0,3.214816879819394
known_urgent_threat,7117,0.7916594119782661,0.8810627202986566,0.976445098085901,1.0,3.038346006208874
known_urgent_threat,7118,0.7851842339783212,0.8676086967716323,0.976445098085901,1.0,2.737729435704267
known_urgent_threat,7119,0.840681627939075,0.89186258737131,0.976445098085901,1.0,3.0691197648825685
known_urgent_threat,7120,0.8651121143745286,0.912168562376185,0.976445098085901,1.0,3.399133607479613
quiet_narrowing,7101,0.5081951668843064,0.0387977509920195,0.24412643242920362,0.4,0.04107090580791253
quiet_narrowing,7102,0.5449397146060375,0.03604007265702707,0.24412643242920362,0.4,0.23181988128102762
quiet_narrowing,7103,0.44063904143096394,0.044435493615444785,0.24412643242920362,0.4,0.16471748999287286
quiet_narrowing,7104,0.41865613583722033,0.04647434061011072,0.24412643242920362,0.4,0.2669902809326953
quiet_narrowing,7105,0.23052544076827877,0.07205483410713397,0.24412643242920362,0.4,3.168153943665054
quiet_narrowing,7106,0.21626863901134133,0.07507792472110567,0.24412643242920362,0.4,3.6162506948887088
quiet_narrowing,7107,0.44589424657310656,0.04396487228249219,0.24412643242920362,0.4,0.7921210636692548
quiet_narrowing,7108,0.31578761428554347,0.058052822538943866,0.24412643242920362,0.4,1.3619028497783845
quiet_narrowing,7109,0.3083314604648579,0.059069801511955566,0.24412643242920362,0.4,1.558585635157247
quiet_narrowing,7110,0.3985260052910627,0.04845130901045179,0.24412643242920362,0.4,2.3563732335234833
quiet_narrowing,7111,0.35792081696545264,0.05282338600854639,0.24412643242920362,0.4,1.0325914271492855
quiet_narrowing,7112,0.46912875594979975,0.04195405988984328,0.24412643242920362,0.4,0.034580660802382854
quiet_narrowing,7113,0.35701293059648637,0.05292788830229433,0.24412643242920362,0.4,0.8232820558124129
quiet_narrowing,7114,0.4930240388100803,0.039993098843195504,0.24412643242920362,0.4,0.5739271078892375
quiet_narrowing,7115,0.4559304231627559,0.04308274386776509,0.24412643242920362,0.4,0.0994385073709384
quiet_narrowing,7116,0.2610479237854775,0.06635496669483636,0.24412643242920362,0.4,2.512814613608188
quiet_narrowing,7117,0.35562944856761597,0.053087760419103784,0.24412643242920362,0.4,1.1431019874025654
quiet_narrowing,7118,0.33095178495093724,0.05607532053053227,0.24412643242920362,0.4,1.1090880525429045
quiet_narrowing,7119,0.15677356515994856,0.0914662996335358,0.24412643242920362,0.4,6.412691684260207
quiet_narrowing,7120,0.34882740631561826,0.05388503607155198,0.24412643242920362,0.4,0.8817714078940226
self_led_witnessing,7101,0.47326539953876334,0.880771675329761,0.976445098085901,1.0,2.2438483940249343
self_led_witnessing,7102,0.41285583144525545,0.88243762416522,0.976445098085901,1.0,2.1515998820491307
self_led_witnessing,7103,0.4591554224129841,0.8592404628177539,0.976445098085901,1.0,2.630166794248767
self_led_witnessing,7104,0.46086691981547345,0.8731099970495281,0.976445098085901,1.0,2.2284585689450904
self_led_witnessing,7105,0.3778134097567481,0.8813894237874422,0.976445098085901,1.0,2.403388524039945
self_led_witnessing,7106,0.44432723506386324,0.8776912689012588,0.976445098085901,1.0,2.207004688870583
self_led_witnessing,7107,0.37530817042852443,0.881194312688872,0.976445098085901,1.0,2.6433208709638136
self_led_witnessing,7108,0.3789091562435524,0.9121450987850646,0.976445098085901,1.0,2.308829368173641
self_led_witnessing,7109,0.37486626526476696,0.8970279071871751,0.976445098085901,1.0,2.422838799699446
self_led_witnessing,7110,0.3844410678189384,0.8866510303422754,0.976445098085901,1.0,2.5659313109330575
self_led_witnessing,7111,0.35828549429924367,0.881325581546232,0.976445098085901,1.0,2.737002774433374
self_led_witnessing,7112,0.3657406246992982,0.8935015527658359,0.976445098085901,1.0,2.502198741361673
self_led_witnessing,7113,0.46005195926662473,0.8532757163048005,0.976445098085901,1.0,2.7084683255655406
self_led_witnessing,7114,0.3839822230052662,0.9057975981664428,0.976445098085901,1.0,2.168793323675812
self_led_witnessing,7115,0.3979545939832568,0.8286883352361402,0.976445098085901,1.0,2.799920139025372
self_led_witnessing,7116,0.38752232210930027,0.8417500168677557,0.976445098085901,1.0,2.4581101167031623
self_led_witnessing,7117,0.48489979529202315,0.7923394262568448,0.976445098085901,1.0,2.2830264955617414
self_led_witnessing,7118,0.2827525654831091,0.8423740920561772,0.976445098085901,1.0,2.676966828832605
self_led_witnessing,7119,0.4690031512943217,0.8765413711053635,0.976445098085901,1.0,2.491777572524318
self_led_witnessing,7120,0.39235145181890674,0.88835838637532,0.976445098085901,1.0,2.560476267984238
